time,uname,comment,star,title,support,sentiment_score
"
                    2012-10-21 17:30:04
                ",文泽尔,最末一集难免会期待过高 当然达斯维达的旗舰还是帅气的 造了一半的新死星也不错 不过勇斗贾巴救韩solo 性感公主奴隶 恩多星伊沃克小萌熊等内容 却难免有些卡通感（小萌熊诚然立了大功）卢克随便练练就如此神勇 可见独身主义者最终无所畏惧 倔强偏执主角必能笑到最后 原力三幽灵相视一笑 奎刚却不在场  ,4,推荐,166,0.9999999999999978
"
                    2018-01-04 12:42:51
                ",根,我看这帝国是皇帝自己不要的，练他妈一辈子原力最后被扔下去摔死了，加强军队建设比什么都强,3,还行,293,0.9425115095636394
"
                    2012-12-21 23:28:42
                ",朝暮雪,"《星战6》的导演水平果然不如《星战4》的乔治·卢卡斯和《星战5》的厄文·克什纳。
本片本该将《星战》系列推向更高的高度，恰恰相反，正是本片让人们第一次觉得《星战》系列没有那么神了。
就是把《星战4》重新拍了一遍，而且连《星战4》死星过于容易摧毁的bug都照搬过来。
修死星的人为什么要故意让死星有弱点？而且弱点周围没有任何武器防守。
就像学渣抄作业，错都错得一模一样。
《星战4》 至少还有《侠盗一号》来修复bug，《星战6》的bug就永远都是bug。",3,还行,47,0.9462657395100024
"
                    2010-12-02 11:28:26
                ",樂,星球大战根本就是一部萌片嘛！—。。—森林卫星上的原著民太可爱了，连打仗都这么可爱！还以为皇帝是被路克砍死的，结果是阿纳金想通了把他直接摔了，最后出现的阿纳金终于恢复了往昔的摸样，带着腼腆的笑容，挺令人释怀的,5,力荐,434,0.9988119285067062
"
                    2012-07-20 20:32:54
                ",同志亦凡人中文站,为什么卢克突然变丑了，我至今仍百思不得其解。,5,力荐,541,0.08955113692613736
"
                    2018-01-06 20:40:52
                ",柏艾伦🖖,讲的是，一个颜值逆天的男子为了心爱的女人踏上暗黑不归路并且毁了容，最后为了儿子幡然悔悟肉身虽殁灵体却重回妙龄十八的家庭伦理冒险故事。最后father让son帮他把面罩脱下来，其实是想用自己的肉眼仔细看看父子俩人sei更帅吧——明显father胜出，安然逝去。,5,力荐,281,0.9999998187704526
"
                    2017-02-10 13:16:50
                ",石头星,系列巅峰无疑是第二部，与前两部相比绝地归来差了些。达斯维达救儿子的那一记怒摔，前传里想救父母老婆，星7中的凯洛就是个渣，不配模仿你外公。,4,推荐,174,0.999285971000095
"
                    2013-08-30 07:30:57
                ",米粒,乔治卢卡斯的感情戏真的可以用emotional retarded来形容。。。,4,推荐,160,0.5788341230590542
"
                    2018-05-11 19:31:10
                ",doyohao,帝国拥有一流的设计师，二流的抵抗者，三流的皇帝，四流的士兵，还有，帝国到底犯了什么错，你们非要推翻它？,3,还行,63,0.9994254799876024
"
                    2018-06-30 11:26:02
                ",Favillae,老三部里的Luke塑造得真好，但即便是年轻那会的Luke也不是像某些人臆想的那样全无犹疑、绝对坚定、丝毫不曾动摇偏差过。他在幻觉中看到砍下的Vader头盔里是自己的头颅，他在恐惧愤怒中猛攻父亲砍下了父亲的手，只不过因为Anakin断过手，那只手才凑巧是机械手而非血肉之躯。原力两面的较量、绝地内在的争斗是终生的，绝地不是一条一劳永逸的道路，它是终生的克制、自省与自我保守，因而是异常艰巨的。它是对较为轻省便捷的西斯之道的摈弃，但这种摈弃也是终生的，而非一朝一夕之劳。用巨大的意志力克服偏差与动摇，达到最终的坚定、自省与自我牺牲，即使是悲剧，不也是更为伟大壮丽的悲剧么？,5,力荐,213,1.0
