time,uname,comment,star,title,support,sentiment_score
"
                    2012-01-20 11:44:36
                ",米姐起飞,果真没让我失望~频频赞叹1999年人家的思维人家的意识 而咱都2012了还是爱构思古装穿越剧。。。,5,力荐,6347,0.999864330579046
"
                    2012-08-18 01:26:16
                ",朝暮雪,"有没有可能整个世界都是电脑模拟出来的，我们以及我们周围的一切也只是电脑中的一串代码？
“你和所有人一样，生来就是奴隶，你生在一座自己感知不到的监狱”
这种猜想已经足够震撼人心，但《黑客帝国》的深度还不止于此，它还在这个基础上提出了新的问题：
你会选择蓝药丸还是红药丸？
是选择美好的虚幻还是残酷的现实？
表面上好像很好选，其实比我们想象中困难得多。
一边是未来的末日世界，被饥饿和寒冷所摧残，还要面临被机器人追杀的危险；
一边是温馨和平的年代，有蓝天白云、良辰美景，甚至还有成为成功人士的机会。
的确，所有人都知道梦境再美好也只是梦境。
但塞弗就是愿意为了区区一个梦境出卖所有人。
假如我们真的逃出矩阵，体验到现实的残酷，也许我们会做出和塞弗相同的选择。
正如当你做了美梦的时候，你宁愿继续留在梦里，不愿醒来。",5,力荐,2485,1.0
"
                    2008-04-15 21:49:44
                ",麻木粮姜,其中的哲学影响我的哲学道路,5,力荐,3421,0.9565597556885679
"
                    2013-07-20 22:03:09
                ",唐小万,真是沧海桑田：那时候基努-里维斯还是清瘦小嫩肉，沃卓斯基姐弟还是沃卓斯基兄弟，诺基亚还是业界老大。,4,推荐,3266,0.9587651941366555
"
                    2007-06-30 22:34:56
                ",战国客,一部蕴含丰富哲理的科幻巨制，袁和平的动作指导将东方武学艺术推向全世界，尼奥躲子弹的镜头成为经典~~,4,推荐,2850,0.9999993850975224
"
                    2013-01-28 10:51:37
                ",zen:),黑格尔的异化理论，事物发展到一定阶段会异化出与之相对的异己，异己的发展会最终替代本体，人发明机器，最终被机器所替代。,5,力荐,1786,0.9999926409866521
"
                    2017-03-20 20:27:10
                ",fateface,1999年的电影，脑洞大得不止一点两点。更好玩的是，好像全世界正往那个方向走。这两天看完《未来简史》后不断想到这个电影，就复习了一遍。真是毫无违和感，一点都不像18年前的电影。,5,力荐,1145,0.9999993325827212
"
                    2006-06-21 01:51:50
                ",艾小柯,新的哲学，开创动作片之先河,5,力荐,1690,0.9912603762206885
"
                    2011-05-01 02:57:52
                ",高歌,禅宗慧能说：不是幡动，不是风动，而是心动。,5,力荐,1316,0.4017835600299281
"
                    2007-07-08 18:00:38
                ",卡夫卡1947,装逼哲学的开始,5,力荐,1639,0.6519682894975166
