time,uname,comment,star,title,support,sentiment_score
"
                    2017-10-21 16:27:23
                ",竹和,很酷的妈妈，很帅的老公，有趣的解读。如果是请艾米亚当斯来演女主，就是神还原了。,5,力荐,332,0.9999892550392973
"
                    2017-12-26 07:09:40
                ",小慢,看完五味杂陈。天才选手穷极青春去追求的事情，败给了性格和家庭。面对裁决的时候她才23岁。就像每一个难度跳跃一样，在起跳时就知道是否能成功落冰，但是在空中一定会尽力挽救，在摔倒后也要一秒爬起来。大概生活就是这样，也只能这样。,5,力荐,264,0.9999871184477468
"
                    2017-12-29 13:03:43
                ",亵渎电影,她的经历本来非常美国梦，但在她的故事里，正是大众对美国梦的定义，毁了她的一生。它的每个环节都很优秀，特别是剪辑和剧本，这部电影想要的表达的让人觉得很复杂，是童年毁一生，女主角自身的性格使然，还是遇人不淑，嫁了个渣男，还是体育世界的潜规则和偏见，原因确实“非常矛盾，非常真实”。,4,推荐,1250,0.9999999999474394
"
                    2017-12-28 15:44:04
                ",朝暮雪,"《I, Tonya》，又名《老娘，唐嫣》，以及《溜冰吧！妈妈》。编剧是Steven Rogers（不信你看看编剧是谁），讲述冬兵背叛他、和小丑女相爱的故事，于是，后来，冬兵这个负心汉遭到了报应，被朋友陷害，成为了全世界最憎恨的人。",4,推荐,1231,0.998549840979096
"
                    2017-12-28 17:50:11
                ",匡轶歌,用一个十足喜剧的方式讲述了一个毁灭性的悲剧，前半段全程都在哈哈哈，后半段事件爆出后越来越心酸凝重。第四面墙的手法用得很6很得宜，给你看一群欢乐的傻逼，如何深陷在一出罗生门之中。而艾莉森的演技又给极品老妈升级出另一个旷世奇葩的新版本。父母皆祸害，渣男毁一生，上帝是幕后的傻逼大boss。,5,力荐,223,0.9999999999317295
"
                    2017-12-27 13:52:03
                ",哪吒男,本年度最带劲儿的传记片，美国梦的阴影面，想被全世界爱，却被全世界恨甚至沦为笑柄，绝不讽刺，非常矛盾，完全真实。花样滑冰的世界里当不成公主，搞女子拳击又发现自己不是怪兽。“每个人都有自己的真相，生活总他妈随心所欲地整你。”,4,推荐,1094,0.9999643653566848
"
                    2017-12-27 18:57:13
                ",同志亦凡人中文站,不断打破第四面墙与观众的互动是亮点，小丑女塑造的Tonya可以说是美国梦最好的正/反面教材。真相不只有一个，恶人并不是怪物，能在不知不觉中洗白这点比较厉害！,4,推荐,686,0.9997338355183948
"
                    2017-12-12 12:41:28
                ",米粒,3.5 合格的娱乐片，剪辑和镜头组合炫酷，演员也很卖力，罗比很不错。但是我希望看到不止是目前这样一个“没文化的倒霉红脖女恰好会做三周跳”，而是说多一些，这样一个能用身体表达音乐的天才运动员，付出了和才华匹配的汗水，却败给了保守的美国和难以摆脱的家人。但那样可能就不是喜剧片了吧,4,推荐,441,0.9999999332893967
"
                    2017-12-09 11:59:08
                ",舌在足矣,红脖出身，女性被施暴，一个黑点毁掉整个职业，这片简直踩中了当下所有的热点话题，母女的表现太亮眼了。伪纪录片以及打破第四面墙的形式看似突破，实际上在大空头之后这个花样也有被滥用的嫌疑，中段人物的塑造也不够好。另外全片的“错的不是我是这个世界”，还说“不存在真相”，洗白姿势不要太难看,3,还行,464,0.9994699236568331
"
                    2018-03-04 23:29:24
                ",西楼尘,餐刀入臂流出的血，让人明白亲情的冷酷；子弹擦枪弹出的血，让人懂得爱情的残忍；拳台痛殴咳出的血，让人饱受命运的玩弄。在这个只相信鲜血不在意眼泪的舞台，流着泪向评委或法官哭诉，都毫无用处。冰面旋转三周半，却永远活不出模范人生。在血与泪之后终于明白，原来自己才是被命运踢碎膝盖的小女孩。,3,还行,306,0.9999999337925743
"
                    2018-01-04 00:25:20
                ",科林,小丑女演得好，她妈演得好，那死胖子演得更好……艹！干！那死胖子！,4,推荐,366,0.9260780249512697
"
                    2017-09-11 22:45:02
                ",唐小万,算是普遍无趣的传记片中有点意思的了，超级喜欢艾莉森·珍妮扮演的母亲，毒舌、冷漠、控制欲强，气场满分，酷到不行。,3,还行,271,0.9843318856668092
"
                    2017-09-09 22:49:59
                ",兔安叽,笑点无比密集，但暴力的部分也很惊人。角色塑造都很棒，妈妈尤其突出，Alison有希望拿奖。可以说很好地描写了红脖的生活状况，挺让人唏嘘的。营销号可以用的标题：冬兵竟敢家暴小丑女！…之类的吧,5,力荐,214,0.9999698632935753
"
                    2017-12-30 23:44:26
                ",LORENZO 洛伦佐,太残忍了，真是一出黑色喜剧。生活是一碗狗血，Tonya喝得真干净。老妈表演真是秒杀众生。冬兵贴个胡须难掩帅气。不断转换角度，多角色插叙，以及打破第四面墙，喜剧化手法让电影看点十足。最后还要说下罗比，她可是和罗南一样是90后！,4,推荐,352,0.9943635763493468
"
                    2017-11-21 07:27:59
                ",看,今年独立电影太多佳作了，剧本，演技，情感各方面的完成度都无愧在各大电影节的口碑。Margot和原型在外形上天差地别，却把人演得非常像，特别是结尾的录像一出来，很震惊。塞包演技进一步的突破，目前得到的肯定足以说明一切。凄惨的内核，用诙谐的方式呈现，反差之下更加叹息。好片，期待再刷。,5,力荐,169,0.999999999726956
"
                    2018-01-07 15:23:46
                ",影志,人生最大的悲哀莫过于被禁止自己终生追求的东西，因果轮回，世事无常，别丢失自己。,4,推荐,184,0.9998764972587916
"
                    2017-10-21 05:27:13
                ",Xenia,1. Tonya说你们观众才是造成这一切的推手 包括正在看的、笑到无法自已的观众 根本不irony-free 2. 结尾Tonya本人说 她现在是个好妈妈 3. 要知道当年Allison Janney也差点成为职业花滑选手啊 Tonya妈只有很少的影像资料 阿姨能演成这样太厉害了,5,力荐,145,0.9858645919738095
"
                    2017-09-17 11:37:13
                ",bks,#TIFF17 通过Tonya花滑职业的大起大落来管中窥豹——贫困，家暴，体育竞技，体育界的面子工程。体娱届的存在基于人类的需求：需要一个人来喜欢，需要一个人来恨，今天喜欢的也可以是明天痛恨的。电影本来可以拍得很悲惨，却通过台词BGM还有剪辑变成了一部黑色喜剧。导演功力可见一斑。,5,力荐,42,0.999999999374535
"
                    2017-12-29 14:40:55
                ",嘟嘟熊之父,聚光灯只有一束，污点从四面涌来。,4,推荐,168,0.1876816586983049
"
                    2018-01-15 14:59:00
                ",张天翼,毁掉一个天才需要分几步？需要几个人？,4,推荐,105,0.23034477997101743
"
                    2017-12-29 17:26:42
                ",翻滚吧！蛋堡,生活是一道注定滑向失败的抛物线，光是渴望被爱着就已经很难了。,4,推荐,42,0.9965421737176461
"
                    2018-03-11 20:14:29
                ",恶魔的步调,因为没生对家庭和时代，她最终没能到达终点线，但如果她生对了地方，她一开始就不会出现。,5,力荐,38,0.9129093387545956
