time,uname,comment,star,title,support,sentiment_score
"
                    2009-10-23 16:34:25
                ",有猫万事足,最受不了这种沉默却汹涌的爱情,4,推荐,2991,0.9885241259058689
"
                    2013-09-16 09:44:25
                ",PaPu,如果发生在国内：村妇恋上多情鬼子，这是要毁三观呐！,5,力荐,3371,0.4763651350702818
"
                    2016-07-04 15:28:54
                ",同志亦凡人中文站,如果没有战争，他们将是多么登对的恋人；可如果没有战争，他们又怎么会有遇见的可能？命运没有给过他们半点机会，惟有让千言万语化作沉静如海的钢琴声。欧洲文艺版“色戒”。,4,推荐,1247,0.9999954937240068
"
                    2018-03-22 21:35:20
                ",Fleurs.哼哼,"人们用两种方式打破国界，
时而用战争，
时而用爱情。
",4,推荐,1115,0.9998470348147747
"
                    2011-01-18 16:53:27
                ",眠去,一生只有一句：再见！,4,推荐,377,0.8886222899553411
"
                    2011-08-05 19:27:51
                ",Q。,“我很高兴，遇到的是一位有尊严的老人，和一位默默无语的女孩。”战争中的爱情，有太多的无奈，在国仇家恨面前，爱，沉静如海。最后那盆天竺花或许只是代表她希望这样可以能够获悉有关他的些许消息。★★★★,4,推荐,1027,0.9999999247379431
"
                    2013-03-08 20:51:00
                ",三四,我总觉得《沉静如海》是《钢琴师》的前传。,5,力荐,591,0.9237298130145324
"
                    2009-12-13 14:29:48
                ",momo,"最深沉的爱只能用沉默来表达，只因为它超出了灵魂能承受的底线
",4,推荐,2444,0.9985462424890712
"
                    2009-02-22 17:11:12
                ",[己注销],小说版完成时二战还未结束,5,力荐,357,0.9577358972373469
"
                    2014-02-10 19:37:36
                ",南笙,含蓄的极致就是闷骚，闷骚的极致是深情，深情的极致是遗憾。,4,推荐,1860,0.9840654005350644
"
                    2016-11-02 18:59:23
                ",未亚,这个片儿优缺点都太明显了。一方面它在剧作架构上是那么地玛丽苏那么地套路让人觉得真是俗到尘埃里，另一方面在整体格调上又是法国电影中极少见的具有东方气质的例证，节制、含蓄、舒缓、哀愁，发乎情止乎礼。泪流满面的“再见”是女主角对军官说出的唯一一句话。借战争的壳讲爱情，聪明却也难免粗浅。,5,力荐,206,0.9999999999945559
"
                    2011-03-14 22:08:39
                ",娇滴滴滴梨二花,"你是绅士,你是淑女.你们沉默不语,毫无声息,却含情脉脉,咫尺相望.战争面前,爱情如此无力,最后却是终了那句再见.连一个拥抱都是奢侈.",4,推荐,1686,0.9999971690343997
"
                    2021-01-17 01:26:45
                ",总是拿不回钱,女主被表哥猥亵时却被男主返回打断那一刻，男主嘴角抽搐，隐忍克制着愤怒，（整部片子唯一一个片段显现出男主作为军人有好胜雄性的一面，其余部分都更像一位文青），且满眼担忧，但却未动手殴打表哥，甚至也未发问女主是否没事。这是一种爱情中的单恋的自卑，男主明白即便他能知道一切在发生什么，但是他也没资格介入这个国家，这个家庭，这个女人的生活上的悲欢喜乐的私事。,5,力荐,134,0.9999999997666364
"
                    2007-12-06 16:23:20
                ",paracelsus,军官的出场，音乐，腿特写。过肩镜的构图。镜子的利用。军官谈到海时，利用shallow space让两人的脸看上去那么近--心灵的接近。少女的啜泣用窗纱与摄像机隔开，真是含蓄。,5,力荐,1235,0.9985909413344163
"
                    2010-06-28 10:28:17
                ",沈书君,全剧没有任何的对白，却不觉得沉闷。最后女孩子弹钢琴那一幕，他们的眼神交流最让我动容。,5,力荐,1063,0.9997320701317305
"
                    2009-12-23 12:24:15
                ",shu,一段钢琴，一句话，两股暗涌，以及表面沉静。,5,力荐,807,0.6075164291332751
"
                    2009-12-10 21:07:49
                ",皮皮鲁西西,海洋的包容，海藻的缠绵，暗礁的迷茫，adieu的意思是永别,5,力荐,725,0.9994160598284131
"
                    2011-08-26 03:02:05
                ",enemy,于无声处听惊雷，沉静中蕴含复杂而深沉的情感。好的电影敢于让故事戛然而止，要留下美好的余味绵绵，铺陈的功夫真不简单~不愧是法国片，大历史与小人物浑然一体，钢琴配乐与情感水乳交融。,4,推荐,548,0.9999999996988505
