time,uname,comment,star,title,support,sentiment_score
"
                    2011-10-20 21:25:16
                ",我爱阳光,幸好昆汀去拍电影了，否则世上又多一个变态杀手。,4,推荐,1010,0.7295803403253142
"
                    2008-07-26 19:07:11
                ",战国客,昆丁是个极其猥琐的男人，而克鲁尼则是个极其绅士的男人，这是我之前的想法。看过此片我终于相信：昆丁还真他娘的是个猥琐的男人，而克鲁尼也可以是个暴力的男人。影片最有意思的一个片段是克鲁尼把喋喋不休的昆丁打晕了，而那个被挟持的女孩居然说了句“Thank you”~~,3,还行,678,0.8514252801614991
"
                    2013-04-08 09:35:58
                ",思阳,突然从杀人狂逃亡片转成僵尸片有点错愕啊，但是惊讶么，一点也不惊讶。Rodriguez和昆丁这一对混蛋联手合作还能有什么样的片子。我惊讶的是Rodriguez这么早期的一个B片就可以找到这么多大牌来演戏，友谊万岁，昆丁力量无穷啊。还有那中国小孩是怎么被插进来的啊，关系户么。。。,3,还行,103,0.99976300845358
"
                    2010-02-18 14:08:45
                ",芦哲峰,自打我第一次看这片子就老幻想被人拿脚喂酒。。。。。 ,4,推荐,698,0.9870204839383722
"
                    2008-03-13 12:46:31
                ",疯眼穆迪,拜托，能不能不只看到编剧是昆汀同学啊，那罗德里格斯不是个吃软饭的啊，除了台词这电影就是罗罗的味嘛，真好笑~~,4,推荐,139,0.3926405598243883
"
                    2008-04-28 22:10:42
                ",文泽尔,这是部典型两段式的cult电影 结构上类似希区柯克的惊魂记 另外本片内反派不是僵尸而是吸血鬼 最后弄出墨西哥的阶梯金字塔来给故事加个恐怖片标准结尾 足够有趣 昆汀作为恋足癖 就可让女吸血鬼来一次过分诠释 这种对应是极赞的 全片唯一不够连贯的地方 是雅各让两个孩子起誓的部分 但也应是导演有意而为,4,推荐,93,0.9999997390842627
"
                    2011-07-08 21:52:30
                ",波西米亚人,影片前40分钟讲罪犯是如何杀人的以及逃脱的过程；后60分钟是人物大战僵尸的故事。这不是通常商业大片套路，而是个很扯的故事，冲突并不集中，前面是罪犯与警察，后面一改观众对警匪片的想象，转为僵尸片。昆汀更喜欢在人物身上布下心机并设下机关，人物好玩、场面热闹即可，无关呼故事的完整与否。,3,还行,60,0.998895358471155
"
                    2012-11-21 17:25:36
                ",赱馬觀♣,其实，在兄弟驾车离开燃炸便利店、画面中打出片名的那一刻，就已经预示了影片会转为恐怖类型。不仅因为片名中有个已几乎成为僵尸片常用语的“黎明”，那字体颜色和布局更是完全复制了乔治·罗梅罗的经典作品！但本片的最大问题，恰恰就在这个转变。转变之前，也就是风格类型还保持在暴力警匪的轨道时，角色间的冲突是多样交织的，故事悬念也是层出不断的。可随着手腕滴血/舞后变身，得！前半程的所有叙事妙处和冲突期待都消失不见，影片迅速滑落为单一场景单调情绪的组团打鬼动作戏。而且从选角和表演上看，克鲁尼只是表现出了他能强硬凶狠，却其非所长；昆汀也只是表现出了他能变态残忍，却非其所长。还是短出镜小客串的方式更适合这位本片编剧……两星半。,3,还行,8,0.9999999999749962
"
                    2010-06-08 17:59:52
                ",果酱☮,哈哈哈，WTF？！一锅乱炖，恶搞至极。另外，虽然片中人物自己说这是吸血鬼，可我坚持认为这和吸血鬼没半毛钱关系，只要被咬一口就阿猫阿狗都能变成吸血鬼，这哪里还是高贵神秘的血族嘛>_< http://www.56.com/u61/v_NTA0NjY3MzA.html,4,推荐,34,0.9997177018359149
"
                    2014-12-11 10:21:19
                ",冰红深蓝,"昆汀·塔伦蒂诺编剧+主演,罗伯特·罗德里格兹导演,还能更暴力更无厘头吗？该片硬是把警匪公路片和B级僵尸片混搭到一块儿，昆汀典型的话唠+恋足癖、克鲁尼配上萨尔玛海耶克的性感蛇舞，一定能吸引你的眼球。各种血腥色情黑色幽默(安全套装圣水和sex machine简直太囧)少不了，结尾是点睛之笔。（8.0/10）",4,推荐,29,0.9999413719990428
"
                    2013-08-16 23:21:58
                ",炭烧八爪鱼,虽然昆汀是编剧，不过还是和他画上了等号。整个片子娱乐十足啊，开头还以为是公路片，结果是大战吸血鬼（好吧到底是丧尸还是吸血鬼我真没弄明白）的戏码。朱丽叶特刘易斯相比天生杀人狂完全变了个人似的，进可狂热，退可温文尔雅。早期白发不多的乔治克鲁尼真没现在帅~★★★☆,3,还行,4,0.9999961989508375
"
                    2012-02-06 21:30:33
                ",yoyomygirl,给劳资看吐了。前半截牛逼！但哥们就喜欢卖弄的把它拍成这个屌样子（来骂我啊来骂我啊）～每一个恶搞的瞬间劳资都领情了，你丫牛逼，但劳资恨死你这变态了好吗,3,还行,5,0.01937265252353393
"
                    2016-06-17 00:23:13
                ",有心打扰,爽感电影...看得过程就是怎么爽怎么来，但说到底，还是有点无聊，看完也没什么感觉。小津看完问：“余味呢？”,3,还行,2,0.9941879621298193
"
                    2005-10-15 02:37:27
                ",【守破離】,Action/Sci-Fi/Thriller/Suspence/Crime Drama,4,推荐,0,0.4737672181921908
"
                    2009-09-05 19:43:34
                ",莱尼圆,一半悬疑，一半恐怖；一半严肃，一半荒诞~从公路逃亡硬生生切换成丧尸大片，反类型混搭风也是CULT的必备要素。或许是昆汀演得最过瘾的一次，造型帅，戏份多，又有脚舔。塞尔玛海耶斯的蛇舞惊艳异常，冠绝影史，that's what I called the fucking show,4,推荐,18,0.9996224813420368
"
                    2020-11-08 12:13:29
                ",同志亦凡人中文站,年轻时的昆汀就是个变态，自己写剧本夹带了好多恶趣味。警匪僵尸加艳舞，从黄昏杀到黎明的龙门客栈~~~~~~~~,4,推荐,15,0.8246396485126911
"
                    2009-03-08 02:13:47
                ",BIGD,这部有我喜欢的Clooney和Quentin，而且每句台词实在废话到不行，很娱乐。其实Quentin演技真的很棒,4,推荐,6,0.9168692087706257
"
                    2012-04-02 04:58:33
                ",HH,如果我拍电影我要这么拍：男女主角通过网络YP准备去野战发现变态杀人狂一路追逃到了僵尸老窝最后杀人狂中招女主角愤然自己中招与杀人狂互欧最后男主角在杀与不杀女主角的悲沧选择中力量觉醒原来自己才是终极BOSS和怀抱着女主角嘴角露出狰狞的微笑（完）,3,还行,9,0.9999993651530901
"
                    2011-03-12 22:34:34
                ",这个假了,"明显不给力啊~昆汀竟然这样就跪了……怪不得还被金酸梅提名了……很邪，很浆血迸飞的电影~乔治克鲁尼足够帅~I may be a bastard,but I am not a fucking bastard.",4,推荐,0,0.9736614073197044
"
                    2009-03-08 12:58:58
                ",豆友1120428,从公路逃亡片硬生生切换成丧尸食人片，这样拍电影真不讲道理，哈哈。但真是好看极了！,5,力荐,415,0.5694823451040437
"
                    2011-04-05 12:58:55
                ",行云流水,小学的时候爸爸租过这个片子自己半夜在家看 第二天给我讲说是鬼片并且大加渲染描绘和恐怖气氛 把我吓得当天晚上都没敢睡觉 多年之后自己下载来看 发现也没有那么恐怖 而且也不吓人。。。白白被老爸欺骗了这么多年 不过这片子竟然是昆汀的作品 确是始料未及,4,推荐,1,0.0727919727865558
"
                    2012-07-10 21:51:14
                ",RP,一开始看的蛮爽的一犯罪片，看到一半才知道原来是恐怖片，看着看着变成了喜剧片，最后变成了部烂片。。。。虽然给了个昆汀式的结尾，但很大感觉上是一写不下去的剧本硬凑了个整~僵尸不僵尸的完全毁了这故事,4,推荐,1,0.2024572916929711
"
                    2010-06-10 09:42:04
                ",格瓦拉,从开始到僵尸变异都是精彩的，特别是进入旅馆到表演结束这段异常精彩，就是转CULT的时候太突然不过之后也还好打斗的节奏感控制得好还不時有小幽默，好容易看了一部昆汀主演的电影了不过哥们3/4的时候就去了，剧情还是够老套，但是不乏味，讨论那段也蛮有趣，总之全片不赖,5,力荐,0,0.9999063848060825
"
                    2011-07-16 05:43:47
                ",朋克布莱克,CULT最强！开头完全是典型的公路犯罪片，除了牧师的铺垫外一点征兆都没有，然后就突然爆发吸血鬼狂潮了，接着开始各种弱智对白和剧情啊。最后的场景很有意思，原来酒吧就是一座埋在地下的古老金字塔的顶端！BTW性爱机器的变身很惊艳，做得特别逼真，倒是其他吸血鬼的化妆有点假。,4,推荐,87,0.9999999494327362
"
                    2014-08-13 14:28:27
                ",徐若风,两段式culit电影，两段都还算精彩。,3,还行,3,0.9980888805715609
"
                    2012-02-17 20:45:00
                ",眼圈,一部昆汀式的片子 回归录像厅时代的感觉 不足是前半部叙事太慢 高潮打斗不够精彩 吸血鬼+丧尸真是囧。。。,4,推荐,0,0.9999972069647971
"
                    2008-03-14 22:27:16
                ",德拉库拉拉,2008-3-14 22:23:46 8/6.9(56021) 昆汀当演员还真下得本钱，看不出来克鲁尼才35岁，怎么说也得4张了吧……,2,较差,0,0.5779477708702895
"
                    2010-01-21 18:22:12
                ",蓝麦田,为什么我觉得这里的昆汀很帅。。。为毛为毛！！但高潮打斗也太不精彩了= =,4,推荐,94,0.5985155640809156
"
                    2011-07-27 02:39:46
                ",咸鱼王腐loli,100min满分公路片+40min上世纪60年代脑残异形片 看到纯真版Lewis和年轻帅气版Clooney我险些以为是天生杀人狂前传 酷似处邢人的双枪兄弟巨萌 可惜弟弟的一条命也只值半成劫款 Quentin和北野武一样总改不了客串的坏·习·惯~,3,还行,0,0.8920395228862031
"
                    2011-12-30 17:56:47
                ",巴喆,果然是极度猥琐的昆汀。很黄很暴力，cult的非常给力。也是本系列最好的一部。,3,还行,0,0.9641752136904868
"
                    2016-03-24 23:09:56
                ",玩酷子弟,闻名已久，今日才看，开始以为是犯罪片然后又变成公路片，再突变成丧尸片，其实可以直接快进到酒吧那里开始看， Salma Hayek真SEXY，昆汀是个大足控。,4,推荐,0,0.9864956893683016
"
                    2011-07-13 08:47:52
                ",猫,"目前看了前一半，紧张，拍的不错  后一半刚开头，开始色情了 O(∩_∩)O哈哈~ 不能在单位继续看了  更新：
看完了，拖了3分钟赤裸裸的xx 镜头，香艳的若干分钟，之后是刑房伪预告片般的无语情节 囧",4,推荐,0,0.1176277325336692
"
                    2009-01-04 22:09:37
                ",爱茉绿绿,B级片你还想看啥呀？昆汀深谙恶搞之道哇 最囧的是那群狗脸的怪物“吸血鬼”......,2,较差,3,0.9616947125618623
"
                    2013-04-16 19:07:47
                ",###疼,QuentinTarantino感觉完爆George Clooney，最后的镜头比较出彩，其他一般，噢，还有手掌穿孔太Cult了,4,推荐,1,0.6560166764112733
"
                    2011-07-25 20:39:41
                ",你还有没有梦想,你妹的、乔治克鲁尼、你就耍耍帅得了呗、非得没完没了、絮絮叨叨的说、,3,还行,1,0.0009701344864739836
"
                    2014-05-10 21:58:58
                ",鴍諌🌈,昆丁在这片子里真的蛮帅型的，亡命片+僵尸片的crossover够新鲜的，最爱的还是hayek大娘和昆丁上演的那段恋脚癖大戏，结尾那张特写真的够牛的,4,推荐,0,0.9999942657719377
"
                    2014-03-09 11:44:15
                ",Vash,"- -第一次了解cult片就看了弯刀..所以这部看起来真的还算正常...Quentin在里面给自己那个角色玩的很high吧...从一开始的铺陈到后面的大战场面虽然够cu但居然没有啥特别的违和感, 昆汀同学下次可以尝试再找找早期风格吧, 近来的片子没这么精妙了有米有- -~",4,推荐,0,0.993667884487572
"
                    2011-09-16 01:27:52
                ",花果山可乐大王,我以为是类似天生杀人狂，结果尼玛半路杀出群吸血鬼！好吧，那就看着各种粘液内脏满天飞吧！作为一个Cult来说这就够了！昆丁内小样完全一副成事不足败事有余的色情变态狂，乔治克努尼年轻的时候还挺帅啊。,1,很差,0,0.999706593021907
"
                    2010-04-04 21:03:39
                ",饅頭☆m&j.dmg,"群星雲集卻還是這麼爛,唯一亮點是那麼多身材好的裸女",3,还行,1,0.5925534097744728
"
                    2011-09-05 21:24:29
                ",Marty McFly,Juliette Lewis is fascinating，于是接着我又看了天生杀人狂,4,推荐,0,0.7119485030031765
"
                    2011-09-19 21:38:59
                ",张熊熊,如果不是昆汀和克鲁尼，我想这是我一辈子都不会看的电影。。丧尸果然是一个已经被过度挖掘的题材。。就连昆汀的妙手也回不了春,3,还行,0,0.9870008427532724
"
                    2009-05-14 19:51:29
                ",囍夭夭,性爱机器即将变身僵尸的悬念真是深得希区柯克真传……而且昆汀爱在自己片中演戏也深得希区柯克真传……话说，昆汀演神经兮兮的性压抑者还蛮好的。。。,4,推荐,0,0.9997114706875511
"
                    2010-07-29 02:09:37
                ",科林,Quentin Tarantino + Robert Rodriguez + George Clooney = 操他妈的超强血腥暴力无厘头西部公路片~~~玩得真爽！！！哈哈哈,5,力荐,33,0.9998407597218145
"
                    2007-04-22 21:33:04
                ",Cao,三部，续集不能看,5,力荐,37,0.7457501201892537
"
                    2007-11-16 19:15:34
                ",彦夕,哈哈原来两痞十年前就鼓捣过个磨坊电影的数码修复版出来 昆痞的小平头真惊艳 挂得没十年后惨 那墨西哥大叔也出现在磨坊的伪预告片里过了会主角瘾 王老五这嘴皮子不错 总觉得海耶克的身材让人不舒服..,4,推荐,0,0.9986506319154075
"
                    2012-08-11 16:40:45
                ",生活万岁F小二,昆汀的演出和他自己的导演一样都是神经病,3,还行,0,0.7568306299099085
"
                    2015-09-04 21:57:57
                ",墓岛GRAVELAND,各种近乎于丧心病狂的设定还有某些镜头特写凸显罗德里格斯和痞子昆的【恶】趣味。类似《杀死比尔》，同样也是一锅B级片大杂烩。且更为脑洞大开。前半部分类似《不准掉头》的黑色公路惊悚片【似乎还插了一段《完美的世界》】而后半段则画风突变，转为了吸血鬼丧尸题材。果然两位神人合作前途无量！4.5星,4,推荐,0,0.9998531795827814
"
                    2012-12-03 16:54:31
                ",dcrlee,罗伯特·罗德里格兹+昆汀·塔伦蒂诺本来就是神经病+变态的组合，再加上迷死人不偿命的乔治克鲁尼，还有萨尔玛.海耶克的大咪咪。我擦，这么碉堡了了组合，真是十分对我的胃口啊。B片就应该有B片的样子，就应该怎么爽怎么来，观众想看啥就给啥！唯一的不足就是模型时代还不上现在的特效时代，不过仍然精,5,力荐,17,0.9999827387869985
"
                    2012-05-01 21:59:36
                ",爱哲,WTF! Quentin's so bitch!,4,推荐,0,0.44767845850986676
"
                    2011-10-10 14:01:54
                ",doiwant,蛇蝎美人那里，从一种类型片急剧完美地转向另一种类型片,4,推荐,0,0.9986033253472009
"
                    2012-04-15 16:59:05
                ",Jenny_L,简直难以想象George Clooney会出演这么一部cult片，而这部烂片竟然阵容强大到有：大导演 Quentin Tarantino的掺和，大美女 Salma Hayek的客串；Cape Fear里的牙箍女儿Juliette Lewis 和无处不在的墨西哥专业户Danny Trejo ...好吧为了这些人那些象僵尸多过吸血鬼的vimpires吧,2,较差,0,0.8325240472408777
"
                    2010-01-23 15:02:11
                ",马西嘿嘿嘿,要的就是这个范儿。西部片和公路CULT夺人眼球，萨尔玛海耶克当真火辣，裆部藏左轮实在太帅了，哈哈哈哈。,4,推荐,0,0.9247603524575349
"
                    2012-01-18 22:40:18
                ",孙道德,虽说这应该是我见过的最恶心最不高雅的吸血鬼了，但是之前已经了解到昆汀是有多恶趣味了，所以也没有很惊讶。神经质又好色的昆汀和痞气霸道又不失人情的克鲁尼真是绝配啊！,5,力荐,6,0.985733958936223
"
                    2012-09-04 00:22:37
                ",unique,这个，真的很无厘头啊！莫名其妙就出来这么多吸血鬼了，纯属搞笑,3,还行,0,0.9034850550577126
"
                    2012-06-16 20:36:58
                ",轻逸,小时候看过的电影，对那些阴森的气氛和宗教的恐怖印象很深，没想到是昆汀·塔伦蒂诺的作品。,3,还行,0,0.9997403300692457
"
                    2013-02-10 12:56:56
                ",白日美人_S,终于终于明白为什么乔治克鲁尼是帅哥了。。。编剧同学简直就是在各种满足自己的私心啊。。。这是今年看得最爽的片子了，但是完全不能接受后半部分的设定好嘛而且还想试图把信仰主题塞进来是要怎样，还好看起来比较爽不然就并不行。。。,4,推荐,0,0.9990188545652369
"
                    2015-11-25 10:52:58
                ",U 兔,太欢乐了，情不自禁加了喜剧标签，一看就停不下来的片子。昆汀和克鲁尼都帅到爆，开始话唠就已经把我笑翻了，后面画风一转，惊喜了，看这种就是得爽，各种爽各种刺激还得有各种趣味，都做足还不让人反感真是很难。能拍这么个片子这一辈子都爽了。对了，哪个是黎明？真么杀都没见他出来，是不是妆太重了,5,力荐,2,0.7418647609450745
"
                    2011-10-20 18:38:33
                ",心动的灵魂,乔治大亮！昆丁威武啊！好片！我以为是恶搞，其实是恶搞，的确是恶搞，但很有道理。,4,推荐,0,0.15487832315499706
"
                    2012-10-28 00:24:01
                ",qckf2001,反好莱坞类型片，只要是昆汀和罗格里格兹，那就是尚方宝剑，想怎样怎样，没有制片人能管得了。,4,推荐,0,0.9174178164356854
"
                    2011-05-17 18:14:36
                ",兽布鸟,那些个吸血鬼啊~~看着可真难过~~P.S.Quentin总演这种话多又变态的角色,4,推荐,0,0.9926191859185491
"
                    2011-10-19 17:10:26
                ",lanca,心情不好的时候看这么一部牛逼哄哄的B级片真是太TM治愈了，罗德里格兹和昆丁真的太有火花，哈哈，PS：昆丁说话居然是这么慢声细语，amazing~~,5,力荐,1,0.0009475272459162909
"
                    2008-03-18 12:24:19
                ",发条饺子,"闷骚之人必定爱吸血鬼多过僵尸；磨坊之后必定爱小罗多过小昆。
罗昆之后，还有谁能把怪物玩得这么HIGH？",4,推荐,7,0.998955942840442
"
                    2012-05-19 08:53:57
                ",你绝对想不到因为这也出乎我意料,大咧咧的由公路片转僵尸片，浩浩荡荡地由跟一大群僵尸蝙蝠打了群莫名其妙的架，反正从头到尾莫名其妙就对了,3,还行,0,0.00026655068945657945
"
                    2007-11-03 20:30:38
                ",铁皮骑士,风格奇特，但是这个剧情太出彩了，因为，你绝对猜不到然后发生什么。,3,还行,1,0.8775113890615813
"
                    2012-03-21 12:51:03
                ",大壶春真难吃,乔治克鲁尼我唯一看过的片子了吧，实在不喜欢他，冲着导演去看的当然~昆汀无悬念的在电影里惨死，几个设定还不错，什么酒吧养了一窝吸血鬼啥的，公路元素也有了，最后日出，那个舞厅球形灯反射光炸死一窝吸血鬼的感觉爽爆了！萨尔玛海耶克依然性感！罗德里格兹的老搭档了吧！,3,还行,0,0.9949281935230716
"
                    2010-05-24 22:31:29
                ",pksky,想不到两个B级片粉丝拍个意淫片也能找来clooney过来...太山寨了...hayek相当诱人...,3,还行,0,0.022325628074056247
"
                    2011-11-12 21:23:34
                ",paleblue777,救命今天搜了一下昆汀的资料才发现这货怎么还演了这个……|||这……/（1分钟后）尼玛看了一下剧照才发现克鲁尼还特么是主演！！？！？主演啊啊啊啊啊！！为什么这部我当时看完觉得不咋地的片子一瞬间形象这么高大起来……||||/2013年的我表示这就是个神片！,5,力荐,1,0.998727664029469
"
                    2014-04-09 21:28:27
                ",喵小有为来欧欧,杀人狂的神经质残暴，艳舞女郎的性感情色，吸血鬼的群魔乱舞，看得超级过瘾！！B级片的教科书！！既色情又暴力，既低级又恶心，它通过血淋淋、黑漆漆的风格感带给你赤裸裸的感官刺激。然后，你会像吸毒、做爱一样地高叫：It’s fucking great！,5,力荐,2,0.9999991708166339
"
                    2013-11-27 19:11:00
                ",\t^h/,真的看过了！够娱乐！记得碟都买了七八年了。观众群都是好专业的horror爱好者，通过Skype和Tom Savini QnA的部分经常是完全听得懂，就是不明白大家在说什么= =||| 年轻时的QT还挺能撑得住斯文混蛋造型的。,2,较差,0,0.9978013394026539
"
                    2012-03-14 23:54:33
                ",札札,简单是说， 这是一部毫无意义的两段式影片， 导演也绝非有表现任何意义的想法，但这又是cult里为数不多我能看下去的电影,4,推荐,1,0.9972290997325807
"
                    2012-10-14 22:57:56
                ",树木夕凉,都不知道是怎么走上这条cult之路的，只是越走越嗨，轻易就能找到爽点。爆头血浆分尸什么的看得还带劲，不过罗德里格兹是真对我口味。墨西哥音乐跟这片一样骚情！昆汀你这个死变态！,5,力荐,2,0.9896376819213049
"
                    2011-12-15 22:39:01
                ",春困秋乏夏打盹,什么吸血鬼，明明就是恶心的要死的丧尸！！！只有你能把两个不想干的世界凑到一起，这么出其不意，只有你，猥琐的恋足癖，还有哥哥敢不敢再帅点，fuck!,5,力荐,0,0.7255238294404985
"
                    2011-05-10 11:03:34
                ",netragreit,意犹未尽，罗德里格兹和胃口。乔治克鲁尼我不讨厌你了!,2,较差,1,0.6327129841574463
"
                    2011-07-20 09:42:51
                ",欺霜傲雪,看之前因为知道编剧是昆丁，有点能接受这从公路片到僵尸片的过渡了，真他妈好看！B级片的典范，乔治克鲁尼的演出很出彩！恶搞了僵尸片，一部精彩的大杂烩，非常出色的cult，5星作品。,4,推荐,0,0.579047420476739
