time,uname,comment,star,title,support,sentiment_score
"
                    2019-04-09 16:02:48
                ",過期罐頭,精神分析的部分不是重点，重点是催眠和失忆都是一种社会性反抗，这和阿彼察邦是如出一辙的。警局-法庭-医院-精神病院都是作为理性的社会存在，那人作为被伤害的对象，那些被非理性的部分必然以犯罪、鬼魂这些元素出现。不知道为什么看黑泽清总觉得被治愈了，CURE这个名字真是恰如其分。,4,推荐,106,0.9999995563580236
"
                    2010-11-16 23:49:09
                ",godannar,关于空间与心的实验性电影，七宗罪的变形。当警察和催眠犯罪两个元素出现时，一切了然于胸，电影必将以堕落传承为结局。只是过程出人意料：舍弃配乐，开阔的空间感，工整的横纵向构图，用细微的声音（海浪打火机机械）填充空间……这部电影的伟大之处并不是剧本，而是疏离感的完美形式化。,5,力荐,179,0.9999999999868265
"
                    2016-03-08 20:39:25
                ",徐若风,远比《七宗罪》还牛逼。融合神秘主义、西方心理学、日系鬼片氛围及悬疑犯罪侦探等诸多类型元素、媒介拼贴，创造出的超类型之作。最终稳步上升到邪教轮回与哲学命题，堪称完美的鬼才作品。人的潜意识是如此脆弱，如空洞的容器，碰及便分崩离析。/2018上影节二刷，新衡山胶片，如愿朝圣X圣治。,5,力荐,76,0.9999999999999181
"
                    2016-03-03 20:31:10
                ",有心打扰,极度冷静的叙事手法，气氛压抑到可以杀死人的程度，可怕。,4,推荐,115,0.9837200094952192
"
                    2020-01-09 14:29:30
                ",米粒,"役所广司不愧是役所广司。我觉得他就快崩溃的时候，他hold住了，最后我本人快要崩溃的时候，他还是hold住。黑泽清是一个很神奇的导演。你可以说这个题材很神叨，各种符号故弄玄虚。但他用这样一个故事来讲人情感在疾病和时间面前的不堪一击的状态是一个多么奇妙的选择（他很多电影都是这样啊）。片前一个硕大的Janus Films, 难道CC要出了吗，gkd",4,推荐,40,0.9971998812701856
"
                    2019-12-08 23:38:07
                ",左胸上的吸盘,勉强及格。剧本捏合了《定理》之类闯入者和连环杀人犯罪类型片两种故事模板，装疯卖傻的催眠者唤醒人类个体的快意恩仇黑暗之心，对真相穷追不舍的探员最后不惜私刑解决问题（这种偏执是他对抗精神病妻子带来的压力、维系正常生活的法宝），因为这两种故事本来就容易互相抵消，让剧本就没了立场，看的没什么代入感，至于黑泽清受奥姆真理教沙林毒气事件启发所写出来的这个故事，也欠缺深度，本来嘛，一个人，可能是社会的癌细胞，但他同时也就是地球的抗生素，这没什么好稀奇的，虽然乍一看有点反社会。视听语言都是标志性的黑泽清气息，给大海配疑似工业化的音轨，快切乍现的血腥镜头，诸多怪异又稳定的空间，依旧是他眼里后工业时代荒诞冷酷的日常,3,还行,76,1.0
"
                    2020-04-01 20:29:03
                ",希尼莫,姜导力荐，看的第一部黑泽清，他妈的，这家伙是个绝对的电影高手。从这部来看，他的职业生涯选择的应该不是现实主义类电影，我傻乎乎的心里暗暗有点可惜，不知道为什么。在北京住处住了10年以上，刚刚进去就拿丙烯颜料在洗手间画了个大大的”X“，不知道为什么。从今以后像刷洪常秀那样刷黑泽清。,4,推荐,48,0.8417163837824826
"
                    2013-04-05 05:38:14
                ",鸡头井。,用声音的扭曲嘈杂和空间的黑暗疏离来展现人性中被压抑的狰狞一面。画面精致考究到极致，黑泽清不为讲一个连环杀手的故事，而是在对于催眠术的层层探访中，找寻精神深处最骇人的原点。餐馆中的最后一幕，冷静克制，役所广司吃完了所有的食物，付钱离去，一切看似平常，却让人不寒而栗。,4,推荐,47,0.9999999999918876
"
                    2018-07-10 01:20:03
                ",骤雨至,黑泽清实在是恐怖气氛营造的高手，连片尾的字幕都带上有隐形之物正矗在面前的惊悚感。后悔没在SIFF前抢票了，黑暗沉默却又比邻众多陌生人的电影院才是观看这部电影的正确场合。对高部屡次坐巴士的镜头印象很深，坐在最后一排，身后是大扇的窗户，窗外是蓝天与或许是白烟的白云，巴士仿佛凌空而飞。,5,力荐,19,0.9999999327372483
"
                    2017-09-01 22:26:30
                ",荒也,“你是谁？”“我是高部刑警”“高部刑警，你是谁？”。“这是哪儿？”“这是警所”“哪儿是警所”。“我不记得了，我什么也不记得了”。“我身体里什么也没有，是空的。里面成了外面。所以我能看到你内心的想法”。个人日本电影前十佳。,5,力荐,79,0.9999594609631274
"
                    2015-11-04 15:00:17
                ",欢乐分裂,#重看#已灵魂出窍，音效太赞，配合荒芜场景，空间感十足，营造出的诡谲诡异荒凉虚无氛围在心理层面上泛起层层惊悚的涟漪，黑泽清对此类以外化物化的扭曲表现内心精神的空无向来拿手，更在本片中达到巅峰；成为深渊的一部分，成为“使者”的传承者，不仅是个体的主动选择，也是社会链的环环相扣。,4,推荐,75,0.9999999999918086
"
                    2017-10-20 14:39:36
                ",柯里昂,以多起杀人案串连全片，其实主线再简单不过了，但却以心理催眠作衬，结局走向亦愈发扑朔迷离、摄人心魂…除了几次杀戮场景和刻于人颈的“X”勉强能跟血腥惊悚搭上边外，黑泽清这种有别于传统恐怖片的拍摄方式正是如今许多电影所无法做到亦或说想模仿最后却成了东施效颦的。准备从这部开始补黑泽清了。,4,推荐,58,0.9999999999826001
"
                    2016-03-17 17:45:27
                ",冰红深蓝,黑泽清成名作。1.冷峻克制，恐怖感如影随形，直透骨髓，一如无处不在的X，标识着人性的原罪与被遮蔽的黑暗面。2.在荒芜空荡的空间与雾气朦胧的场域中，闪烁的火机火苗、流动的水和隐现的低音，都是催眠暗示的绝佳引物。3.蓝胡子黑童话，干洗店，插入镜头值得研究。4.矛头暗指男女社会分工。（8.5/10）,3,还行,36,0.9998989435513147
"
                    2020-01-09 11:50:52
                ",TWY,好是好，可惜导演/摄影机和行凶者站在一边，因此并非神秘，而只是阴谋。,4,推荐,13,0.9945355434324996
"
                    2013-04-04 23:28:28
                ",赱馬觀♣,本片在imdb上的片名就是Cure，于是结合剧情可以用到那个著名的似音英文哏，Cure or Kill？……X圣治，是仅仅利用了马布斯博士的催眠术连续杀人的情节设定？不！黑泽清还继承了弗里茨朗讲故事的方法。正如敏锐观察者所言，“对于您的影片，我非常喜欢的一点是角色与其所在空间的交互。这让我想起了朗的电影。您总是非常注重屋内布局以及角色在屋中的移动方式。他们必须要生活与行动在某种空间层次和帧的嵌套之中，好像迷宫。”……其中，间宫对于男教师的“掉落”催眠、高桥（稍滞后于观众）发现心理学家佐久也着了魔道，便运用了一个极具朗式特色的叙事手法：套间的秘密……https://www.douban.com/people/hitchitsch/status/3219500887/,4,推荐,17,0.9999999999999858
"
                    2017-08-28 23:36:42
                ",SydneyCarton,黑泽清基本不能算个日本导演，早该去欧洲拍片了。,4,推荐,16,0.707859169853475
"
                    2018-06-22 21:20:26
                ",一只麦麦,在昏暗复古的大光明仰头看这片，晦暗的影调，迷离的构图，隐隐的风啸，离奇诡谲的连环命案，还真...有点堕入邪教的感觉...喜欢这种悬疑惊悚片，没一个吓人画面，看完却脊背发凉。一部很显露黑泽清大师相的作品,5,力荐,6,0.9999998904623377
"
                    2019-07-05 12:20:55
                ",Lies and lies,整体上有一些不甚流畅的时刻，但局部非常精彩。黑泽清的美学来源于80年代棚拍电影，内景往往有一面不存在的墙，外景有45度角标准光照（或者纯阴天），交通工具棚内拍，窗外是雾或者云。这种美学被黑泽清推到了新的极端，即：肉眼可见以外均是黑暗和混乱。推论：疯狂和暴力仍是最低限度的秩序。又以玻璃门，塑料布等暗示这种秩序的脆弱性。黑泽清的世界声光电高度统一，只是这部里面对类型片的化用还是简单了一点。,4,推荐,51,0.9999994611429398
"
                    2019-04-13 20:57:46
                ",Fleurs.哼哼,"当初看阿城《常识与通识》中将那十年浩劫比做一场巨大的催眠秀时还似懂非懂，本片却真鬼使神差以毒攻毒般的印证了我心中的猜想。
原来在群体中，个体的智商与辩识能力下降的同时，更容易陷入那种个人崇拜原来是有人有意识的让大众无意识进入自我催眠的。
至于途径，最明显的，就是那些让你天天看的和不让你看的，洗脑呗～
还有更厉害的，哈哈哈哈哈，不可说。",4,推荐,3,0.9999999768531082
"
                    2016-06-28 20:14:50
                ",狄飞惊,还是有点世纪末恐慌式主题先行，冷峻肃杀本身没问题，但为了风格而刻意地语焉不详，并不足以让人信服。黑泽清的影片在类型上总有种别扭的混搭感，不知这种尝试是有意为之还是无法掌控所致？,4,推荐,4,0.9359067189524161
"
                    2018-06-22 15:05:45
                ",王十三,#SIFF2018#朋友临时转的一张票，竟然是胶片，缩在椅子上看完。那些不能回答「我是谁」的男人们，拖着被透支的疲惫皮囊，被生活催眠，双手沾满了血。想起同样是役所广司主演，是枝裕和的《第三度嫌疑人》，里面一句台词说的也是杀人，人分两种，一种会杀人，一种不会杀人。X大概是两者之间的变量。,3,还行,4,0.9988065380036921
"
                    2022-05-23 15:13:48
                ",天上掉下夏洛克,看不懂怎么办，不知道啥意思，有人又要瞪着大眼睛盯着我看了，可我就是云里雾里。,5,力荐,7,0.7760099502760666
"
                    2009-06-24 02:25:39
                ",枯川满,片尾女服务生握起了刀,5,力荐,134,0.44470791921049535
"
                    2015-12-20 21:08:03
                ",paradiso,谜之杰作。因为这部进了黑泽清的坑，比起初看时被谜之猴干尸震慑现在更多的以艺术欣赏为主。出字幕时心中还是留下了谜之骚动。这是日本电影对于七宗罪的回应啊精神层次不一样啊。,5,力荐,51,0.9999955638917546
