time,uname,comment,star,title,support,sentiment_score
"
                    2010-08-06 00:06:27
                ",Piper,"【温馨提示：请忽略这傻逼名字.不然你会错过一部好电影】1、病毒的鸟巢飞来了一只自由之鸟；2、Ta有没有告诉你,朋友就是给你一枚硬币教你自己独立做出选择的那个人.这个人才是你最大的财富 ：）",4,推荐,5419,0.9999087168389462
"
                    2010-08-07 00:00:41
                ",私喜,看了这部电影是我2010年最幸运的一件事 力荐！,5,力荐,7510,0.999182807251387
"
                    2010-08-08 22:45:01
                ",Lan~die,如果有一天你变成了奇怪的家伙，生活于恐惧和虚假之中，就念重生的咒语“All is well”，狠狠地给这个世界一脚！对鼓励别样人生价值和给人梦想的片子我是举双手赞成，何况从头到尾都拍得这么欢乐。台词：“朋友是男人最大的胸部”、“你这么害怕明天，又怎么能过好今天”。,4,推荐,2234,0.9999997448511655
"
                    2018-02-10 14:55:13
                ",顾盼,兰彻和他的朋友成功了，做了自己喜欢做的事情。反派同学也完成了世俗上的成功。第一次看的时候我不喜欢反派同学，觉得他自私，愚蠢。重温了一遍之后，发现他其实也很努力。,4,推荐,572,0.99997678587192
"
                    2010-08-15 01:47:31
                ",张小强,印度人大概是被应试教育憋疯了，才有这么夸张的小宇宙,4,推荐,351,0.9967567981401063
"
                    2010-04-05 00:30:10
                ",七,"其實bollywood 是很好看的, 尤其是整個電影院都跟你一樣enjoy~",4,推荐,236,0.047282871652780445
"
                    2010-08-15 12:29:46
                ",桃桃林林,虽然收入不多，但一直在做自己想做的事情，所以我也很快乐,3,还行,484,0.9983755228664697
"
                    2010-08-05 11:44:57
                ",少年 遊,这几个月来看过的最好的片——”做自己“，也许才是人生终极的成功。别总嘲笑印度人”阿三“，他们已经追上来了，无论经济、科技还是我们一贯认为只会跳舞唱歌的宝莱坞电影。盛赞！5+1星！,5,力荐,4891,0.9998457627899618
"
                    2010-08-04 18:46:54
                ",玲珑,当你不断追求卓越，成功就会不知不觉追赶你。害怕明天，怎能过好今天呢？心很脆弱，我们要学会哄它。鸡不会知道蛋的前程。学习是为了完善人生，而非享乐人生。只为生命而感激。朋友失败，你难过，朋友成功，你更难过。一切顺利。,5,力荐,4684,0.9999996176701721
"
                    2010-08-09 10:30:55
                ",Q。,一部讽刺社会现象的电影都可以拍的这么轻松，喜剧里还可以有这么多闪光的慧言慧语。情节确实太过随意，下一秒的夸张总是来的让人啼笑皆非，无可奈何中却仍旧乐呵呵的接着看下去。 末了的那段风光让我无比钟情！★★★★★,5,力荐,3339,0.9999999691948888
"
                    2010-08-31 13:20:42
                ",妖灵妖,它又吵又闹、又臭又长，但我想不出什么理由不给它五颗星。,5,力荐,3159,0.004718032668096006
"
                    2010-05-09 13:34:11
                ",大力麦,阿米尔·汗你是个天才！！！,5,力荐,2473,0.8185708722876215
"
                    2010-08-04 22:58:01
                ",Quentin,活在当下，不记得失，以无为之心做有为之事，你收获的会是比物质更珍贵永恒的生命体验。,5,力荐,2321,0.9999951634774727
"
                    2010-08-04 21:45:19
                ",烨色正浓,"该片的中文翻译太烂了，差点就错过欣赏一部好作品了。
兰彻一直在给大家灌输的一种理念就是：简单生活，遵从心声，为自己而活。 
的确，他让朋友们重新认识了自己和所要坚定的方向。
很喜欢片尾的那片湖泊，不知道是在哪里呢？",5,力荐,2185,0.9999978346398676
"
                    2011-02-04 23:53:32
                ",影志,近三个小时的片长，却没有一个多余的情节，剧情前后呼应之巧妙值得称奇。好电影不一定要苦大仇深，能真正愉悦观众，那也是一种巅峰。“做一名摄影家又会怎样呢？挣得少一点，房子小一点，车小一点，但我会很快乐，很幸福……紧跟你的天赋。” 温暖励志美妙如2010年的《天堂电影院》+《阿甘正传》,5,力荐,1499,0.9999999999999969
"
                    2014-09-22 16:17:34
                ",恶魔奶爸Sam,你以为这是一部励志片，你以为这是一部教育片，你以为这部电影探讨了友情，教育和社会，其实这是一个玛丽苏的故事，龙傲天一般的男主，遇到的都是老派抗战片里面的敌人，轻松的念着咒语all is well，当上科学家，迎娶白富美，走向人生巅峰。套用人民日报的话，连三傻这种电影都觉得好，这人得多没见识,3,还行,267,0.9999999999799549
"
                    2010-08-21 15:44:48
                ",卫西谛,俗，但好看,4,推荐,150,0.7268577788744484
"
                    2010-08-05 03:09:19
                ",天问,很棒的印度电影，这当中一样的可以看到中印相似的教育体制与贫富阶层问题。轻松、暴笑、热泪中感受积极人生的力量。梦想与事业，做我们喜欢的事情，是成就的不变真理。,5,力荐,1386,0.9999999999998226
"
                    2010-12-25 22:04:25
                ",朴九月,六星都不够。最后男主角戴眼镜那个形象好像吴彦祖！,5,力荐,1047,0.9755261772444676
"
                    2010-08-18 02:12:41
                ",D I D A,三个白痴，这是讽刺，不过讽刺的是那些自以为是的观众。你绝对可以在将近3小时的电影中拼凑出好莱坞喜剧片的种种元素，并对这些老套的剧情不屑一顾，这没问题，这“三个白痴”明摆着一副受人奚落的姿态。但是你被耍了，这些桥段只不过是影片内核外的闪光弹，酣畅淋漓的绝对是你一直错过的东西——爱,5,力荐,748,0.9999989139111348
"
                    2010-11-12 22:57:08
                ",Suave,我们有很多考试，可爸爸只有一个,5,力荐,361,0.9901306140034013
"
                    2018-02-10 14:52:05
                ",尽欢,最近又重温了一次三傻。里面对于知识和学习的思辨，让人触动。希望我们都可以做自己想做的事情，成为自己想成为的人。,4,推荐,94,0.9999748005269783
"
                    2013-11-04 01:28:15
                ",黄青蕉,第一不好笑，第二支线太多故事太长，第三嘛道理人人都懂，可是自己做不到都是意淫，这片说白了也就是一罐油稍微少一点的鸡汤啊,3,还行,153,0.02656377588037606
"
                    2018-01-02 11:00:37
                ",婷婷爱八卦,印度的电影拍得还是很实诚的。国内多数电影拍得比较浮夸，这点得学韩国印度，只要诚心努力有什么不可以做好呢，毕竟中国人很聪明的！,4,推荐,87,0.9997256433750589
"
                    2013-02-08 21:39:58
                ",同志亦凡人中文站,道理浅显但知易行难——试问有多少人在择业上能真正做到从心所欲？而填鸭式教育，在中印这样的人口大国，更是一百年都不会改变的基本法。节奏感很好的精良商业片。,5,力荐,337,0.9979769483654101
"
                    2010-08-20 02:31:35
                ",艾小柯,非常完整的商业电影，十分cute,4,推荐,60,0.9376463484944892
"
                    2010-09-01 21:01:35
                ",刘小黛,生存就是场赛跑。我们生活里缺失很多这样的丰富与精彩，所以觉得电影好看。我们是容易对社会失望也是容易被感化的一代。,4,推荐,36,0.9996915185673169
"
                    2010-08-09 23:33:11
                ",易水寒,如果这辈子能有过wangdu这样的同学，也值了~,5,力荐,262,0.9522400981703006
"
                    2010-08-08 16:47:07
                ",透明,中国导演和中国教育者最应该看的电影！,5,力荐,345,0.9975171056238776
"
                    2010-08-12 01:01:26
                ",Muggle、佑。,1.开始笑了，然后哭了，又笑了，又哭了，最后还是哭着笑了。2.可以看作是反映现当代发展中国家教育体制现状的电影一枚。3.印度的歌舞传统还是没有丢掉。4.当中国电影还在发愁的时候。印度已经开始继承并发展了自己的特长及特色。5.男主让我想起了印小天= =他笑的太用力了眼珠子都要飞出了,5,力荐,413,0.9999999999746212
"
                    2010-08-14 15:35:24
                ",眠去,明明是喜剧，还哭了好几次,5,力荐,400,0.45051665515814776
"
                    2010-08-28 00:19:26
                ",Mr`Goodnight,"印度电影真的很棒！音乐和舞蹈很有意思~~男主角超级可爱，第一次觉得165身高五短身材的男人可以这么帅！！！！！！！
",5,力荐,340,0.999997165114756
