time,uname,comment,star,title,support,sentiment_score
"
                    2009-07-31 09:35:26
                ",后退三步,最后那小女孩儿被踹死了，我猛猛的在台下鼓掌,5,力荐,5929,0.9679960206260804
"
                    2011-03-30 16:51:28
                ",池    信,该男主角应该是本电影里智商最低，情商最低，战斗力最低，生命力最低的人了。。。。,4,推荐,9003,0.9526890170031441
"
                    2009-10-14 21:53:53
                ",焦瑷,女主角是天才型演员。不过她应该选择去那种男猪有恋童癖的家庭，一切都解决了。,5,力荐,2305,0.9982231707475014
"
                    2009-10-21 08:25:09
                ",思考的猫,从此以后，领养小孩需做骨龄测试。,4,推荐,7111,0.9389678983919928
"
                    2009-10-10 18:27:57
                ",🦄 mangoish,很久没看到这么好看的恐怖片了...,5,力荐,1023,0.38153209612174566
"
                    2018-04-08 16:58:25
                ",朝暮雪,有关部门应该组织恋童癖每年看一遍《孤儿怨》，让他们从此看到萝莉就产生心理阴影。,4,推荐,5252,0.999089429403586
"
                    2009-09-01 12:15:05
                ",大耳蚊小姐,这就是老处女性压抑的结果 ,4,推荐,6271,0.8186437922633304
"
                    2009-10-13 22:21:18
                ",大宸,尽管后面很精彩，但那个什么都不说什么都不做的女儿真想扇她一耳光...,5,力荐,3237,0.5949212498091289
"
                    2010-02-17 18:31:42
                ",理想多钱一斤啊,男人啊！你们是不相信直觉，还是压根儿就没有啊！！！,4,推荐,933,0.40643166710127976
"
                    2009-12-13 22:45:34
                ",小转铃,美国主流傻大个家庭对斯拉夫民族的具象化恐惧,5,力荐,2946,0.9992346544901602
"
                    2009-10-18 01:38:09
                ",弗朗索瓦张。,看过最好的美国恐怖片。条目论坛有影迷创作的另一版结局，如果是英国片走《黑暗侵袭》和《伊甸湖》的虐心路线，肯定会按照那个版本拍。。。(PS:Esther很有豆瓣文艺女青年范儿！),1,很差,316,0.9999999995642896
"
                    2009-11-08 20:18:25
                ",蚂虾街,毫不严谨与脱离逻辑的情节发展，荒谬愚蠢可笑的角色性格，侮辱观者智商与情商的佳片。,4,推荐,346,0.8194539885751534
"
                    2009-10-24 10:28:44
                ",影志,不要迷恋姐，姐会让你吐血。,3,还行,2239,0.8094752680256992
"
                    2009-10-12 22:48:50
                ",老熊猫,都说小孩演得好，个人认为，她面相就老，属于本色出演吧。,4,推荐,1787,0.7153785888449395
"
                    2010-04-12 09:56:06
                ",塞腮,成长教育给所有大叔控的萝莉们拔草 而孤儿怨给所有萝莉控的大叔们拔草了 有意思的是这两部片子的男主都是同一位演员 他命犯萝莉啊,5,力荐,1666,0.9999999967615028
"
                    2012-10-07 12:27:01
                ",donger,啊啊啊啊好喜欢 最后那一点 去你妈的 谁是你妈！,5,力荐,370,0.9461208309241417
