time,uname,comment,star,title,support,sentiment_score
"
                    2016-12-23 17:50:46
                ",同志亦凡人中文站,根据真人真事改编，讲述印度一块女子摔跤金牌的诞生。剧情热血逗乐，竞技惊心动魄，挑不出什么毛病的宝莱坞电影，父女情尽在不言中。阿米尔·汗太敬业了，为了一闪而过的几秒就把自己的身材从肥胖练成魔鬼，好演员都是用生命在演戏啊～,4,推荐,11778,0.9999999999993019
"
                    2017-01-04 21:54:29
                ",有点迷人,阿米尔一人饰演男主角19、29、55岁三个人生段。他首先完成了19岁的戏，然后疯狂增肥，一个月时间变成了体重194斤的55胖大爷，拍完老年戏后，又用5个月的时间疯狂减肥，回去拍29的戏！所以：为什么要这么折腾自己？直接拍完29再拍55不就好了？阿米尔说：那样我就没有动力瘦回去了！,5,力荐,21342,0.9999815721951318
"
                    2017-04-16 17:24:12
                ",小鲸鱼社畜版,关于本片价值观－不看社会背景就评判三观就是耍流氓。在印度的社会状况下，女性是没有自由选择职业的氛围的，先破才能立。就像片中父亲对女儿说的－你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。最后，这场斗争的意义早已超脱出父亲一己的梦想，升华了呀。,5,力荐,17100,0.9999999987543522
"
                    2017-01-18 00:46:54
                ",踢迩达,豆瓣文青们可能已经成功被白左的西方政治正确洗脑了：不放在具体语境下，以西方女权衡量一切本来就是一种偏见和武断。在整体状况还不如中国的印度，本片已经适当地展现了一种进步的女性生活方式，即便在父权的引导之下。让符号化的解读蒙蔽影片传达的真情实感，令人感到可悲。,4,推荐,7775,0.999999999991771
"
                    2017-05-03 21:24:11
                ",内陆飞鱼,就电影来讲，我们有什么资格嘲笑印度。,4,推荐,3435,0.994401153240151
"
                    2016-12-24 07:02:54
                ",仰望星空の派,这么好的一部电影。。弄得这踏马什么破译名。。听起来像儿童片似的。。,5,力荐,16611,0.32394291238962747
"
                    2017-04-11 14:21:49
                ",Mona Lishark,好看死了。拜托大家认真看完电影再做评论。爸爸有约定一年为期，不行就不勉强。吉塔在赢得了第一场摔跤比赛之后，也主动请爸爸带自己参赛。她们已经自己选择了自己的道路，被父母逼着选了专业还怂着不敢转型的朋友，你跟人家根本没有半点共鸣的好吧。另外，脱离印度实际环境谈女不女权根本没有意义。,5,力荐,14437,0.9999746116311744
"
                    2017-04-30 00:46:29
                ",🦫,这片也能被女权主义者黑，我也真是无语了。黑之前先去了解下印度女性的社会地位吧。这明明是在倡导女权才对。猪队友太多了，心疼阿米尔汗。,4,推荐,2573,0.4638606339119865
"
                    2016-12-31 18:07:42
                ",caj,就凭电影，谁也没资格叫人家阿x,5,力荐,11512,0.6656661733956095
"
                    2016-12-31 11:44:40
                ",豆丁,印度排名第一的电影，全球口碑已炸裂,5,力荐,10099,0.9018922613062198
"
                    2017-04-16 17:32:01
                ",延延,#北京电影节#我不觉得这个片子囿于父权的藩篱，父亲虽然有在女儿身上圆梦的渴望，但也建立在发现女儿的天分的前提上。摔跤让两个女孩子挣脱了偏见和无止境的家务，挣脱了14岁嫁人的命运，踏入更广阔的世界。说直男癌都是怎么想的？,5,力荐,5938,0.9999999997786717
"
                    2017-04-16 17:50:39
                ",大奇特(Grinch),（看的完整版）取材真实，剧作扎实，用体育竞技片来拍父女情节剧，并改写了上到封建礼数、下到官僚制度的不变法则。有人提出片中受父权压制的价值观导向，请站在印度国男尊女卑的角度去看待吧，它明明是在拥护女性。另外结尾父亲的缺席，也暗示了女性的独立。另外，套路也是路，不要排斥套路。,5,力荐,5013,0.9999999999998357
"
                    2017-04-19 13:07:56
                ",柯里昂,“不是技术老了，是爸爸老了”，父女摔跤那段确实催泪，说是近几年最好的印度片也不为过。不过教练和父亲那条线挺没说服力的，剧情冗长也是印度本土电影的通病，不接近三小时都不叫电影。以及，整个华语影坛都很难找出一个像阿米尔·汗这样敬业的演员。最后，温室里的花朵都会给本片打低分，不信你看。,4,推荐,1529,0.9999999306689932
"
                    2016-12-24 08:44:27
                ",Mr.猫,阿米尔汗就是印度电影的金字招牌，而且他每部电影都反映了印度方方面的问题，从《三傻》反映的教育，《我神》反映的信仰，到这部《摔跤》前一半反映了印度女权问题，后一半更像是父爱家庭人生的混合体，但这部电影的动作戏真是帅爆了，很精彩，没得说，8.5分应该不过分！！,5,力荐,4486,0.9999999999554254
"
                    2017-05-07 07:55:23
                ",严箫玉,当查到两个女儿的演员并不是职业摔跤手时我惊呆了，这是一部市场经济主导的天朝电影界永远拍不出来的电影，女演员根本没有档期练什么摔跤，也不可能真的剪短发，更不可能有一线巨星为了演发福真的去增重，再为了一两场戏花五个月的时间减掉50斤。我们只有白百何的假头套和刘德华的大块头套装。,5,力荐,3191,0.9999876930877014
"
                    2016-12-27 09:19:56
                ",@sniper,最惊讶的是放印度国歌的时候电影院几乎所有人都站起来了。。,5,力荐,3142,0.9503035988773257
"
                    2017-01-19 01:47:35
                ",七姐Claudia,我的印度女同事说:I wonder -- why didn't my father bring me up this way.,5,力荐,1908,0.783088210916496
"
                    2017-05-08 19:02:19
                ",根,能做到不打小孩、还会跟小孩说你很棒这两点的爸爸就算杀人放火都是好爸爸，就算杀人放火每个月小孩都会去牢里看他,5,力荐,1357,0.9998968089987564
"
                    2017-01-04 16:34:36
                ",Big hero,有的人拍电影只是为了捞钱，而有的人拍电影是为了良心。,5,力荐,1978,0.8520817938243624
"
                    2017-05-08 16:56:51
                ",李小丢,哭了好几次，还有到底多瞎的人才能说爸爸是直男癌啊？没看到婚礼上的小新娘说非常羡慕女儿们能有这样为她们考虑未来的爸爸啊？还有爸爸一脸骄傲地对怕女儿嫁不出去的妈妈说：以后只有我女儿挑丈夫的份儿。（大概意思）还有最后决赛的时候爸爸对女儿说一定要赢的意义也是为了更多的女孩改变命运啊！,5,力荐,1221,0.9999999999993747
"
                    2017-01-04 23:23:13
                ",火火,在印度看得169分钟，一部处处衬着男权和父权的女性电影，女儿没有任何选择权，被父亲残暴地教育成为世界冠军，这个冠军的“正确“结果就意味着父亲教育的正确了。意外这部电影宣传期在国内口碑这么好，大家去看完整版吧认知会反转的,3,还行,2461,0.9999999999999758
"
                    2017-01-08 15:41:30
                ",影志,不聊三观，这就是一部通俗的励志片，千万别以为这是今年的《三傻》。,3,还行,1080,0.472868472787943
"
                    2017-05-05 19:07:28
                ",Jer3my,在电影院哭得像个二百斤的孩子,5,力荐,1180,0.20454945517463197
"
                    2017-01-07 02:10:25
                ",蜉蝣,父亲价值观简直令人作呕，以梦想、金钱、冠军强制女儿人生，所谓父女情不如说是满足私欲后的奖励。电影讲述打破性别偏见，其实自己已经偏见得无可救药。纵然父权被击倒在地，也要用整个后半部分将其再次扶到最高位。,2,较差,1771,0.9999999916464793
"
                    2017-05-07 18:22:06
                ",老袁,我眼睛不好，想着能不哭就别哭了，最后还是哭到双目失明,5,力荐,708,0.6327822294627189
"
                    2017-05-05 22:07:14
                ",Augenstern,非 常 好 看 。不说别的，国内电影啥时候把120分钟的故事好好讲明白不让观众坐如针毡就是最大的进步了。,5,力荐,800,0.9974993505677889
