time,uname,comment,star,title,support,sentiment_score
"
                    2009-12-17 01:37:25
                ",Menphis,钉子户 大战 城管 in 3D,5,力荐,9345,0.560830454099465
"
                    2009-12-18 07:42:44
                ",不体面james,当所有美国大片都开始炫耀自己的视觉效果时，詹姆斯卡梅隆只是坐在阴暗的角落里冷笑，然后抛出这么一部让所有人感慨“操，真他妈牛逼啊！”的电影。,5,力荐,7718,0.9916056302216335
"
                    2009-12-17 00:05:47
                ",圣约血镰,"抱歉，2012？在Avatar面前不过是小儿科！
只有一句话：这是史上最强科幻！
可恶的卡梅隆，你要让未来十年的所有科幻片都味同嚼蜡了！
因为所有观众的审美标准已经一口气被你提高了几个档次！
这部电影，不去剧院看绝对一辈子后悔
最后，感谢上帝赐给我们一个James Cameron",5,力荐,5795,0.008743513620597665
"
                    2009-12-17 01:03:03
                ",X. U.,"有一天,意中人会踏着飞着的大怪兽来救我.然后I see you...",5,力荐,4393,0.09057656502416656
"
                    2009-12-16 23:51:31
                ",Color,刚刚看完，浑身起鸡皮疙瘩，无愧于人类电影历史上一个里程碑,5,力荐,3071,0.9972121590860192
"
                    2009-12-17 04:26:26
                ",关雅荻,特效震惊，3D感一般，但够真实，故事一般，创意度一般，世界观展示一般，但呈现效果牛逼至死，战斗场面热闹和精彩，但谈不上震惊，整体只能说，整体符合预期，这是它的优点，但没有意想不到的亮点是它的遗憾之处。推荐观看。,5,力荐,2028,0.9999999914785597
"
                    2010-01-06 00:52:24
                ",张小北,从现在到未来，从地球到潘多拉，《阿凡达》再次告诉我们，要想泡到一个姑娘，有一辆好车是多么的重要啊～～,5,力荐,1680,0.9951087567031158
"
                    2009-12-18 20:05:32
                ",Mars,"全宇宙也就天朝的钉子户最弱势了。
潘多拉版风中奇缘。另外我buy所有生物都是生态网络中相互连接的神经元这个idea。",5,力荐,1378,0.9967184066382107
"
                    2009-12-23 13:17:28
                ",皮革业, James Cameron闭上眼，全是电影的明天。,4,推荐,6771,0.3687326542228282
"
                    2009-12-31 14:59:28
                ",荔枝超人,已经不是在看电影了，是在比谁Wow的次数多，眨眼次数少。,4,推荐,4204,0.44125607320272653
"
                    2009-12-17 17:53:27
                ",郭二,场面恢弘华美，情节烂俗狗血,4,推荐,2663,0.2940339847929554
"
                    2012-07-20 20:39:43
                ",同志亦凡人中文站,情节水了点，想象力的世界叹为观止！,4,推荐,819,0.683692272928476
"
                    2009-12-18 00:32:10
                ",楚仙,这电影的特效是自指环王以后见过的最令人惊艳的。我觉得可以打6星！去看的时候一定要去看3D版的。,5,力荐,1390,0.9865228254406324
"
                    2021-03-12 23:48:56
                ",格兰芬多,这12年来真正的3D电影竟然还是《阿凡达》。 ,5,力荐,1206,0.6227060252770997
"
                    2009-12-20 06:21:22
                ",Neuro,天空之城+幽灵公主+魔兽世界。,5,力荐,1028,0.9929281315329678
"
                    2009-12-16 09:44:08
                ",TORO VAN DARKO,卡梅隆用顶尖的CG和3D技术创造了天神下凡似的巨作。,5,力荐,827,0.833599859343073
"
                    2010-02-08 22:19:54
                ",桃桃林林,十一年之后重看改成四星吧。如今再看《阿凡达》，观影感受完全不同了。可能这些年心境太多变化了。十多年前更多执着于视觉，会认为故事很套路。现在觉得，虽然故事套路，但情感是充沛且直接的，会被感动到。此外，如今再回味本片，影响主要有两方面。一方面是让内地观众知道了IMAX，并且知道了看大片必须看IMAX。另一方面，是让观众知道了3D电影，也让《阿凡达》之后，内地掀起了一股子3D电影浪潮，到今天还没完全消退。,4,推荐,525,0.9999999999999916
"
                    2009-12-18 15:30:17
                ",花花盆子女王,其实Avatar根本不需要拍成有剧情的电影，大型风光科教片就行了，将pandora上所有的生物一个个介绍过来，加上性感大姐姐的全程旁白……我也会去看的……  ,5,力荐,558,0.9985450509173528
"
                    2021-03-16 20:40:33
                ",曼市六点半,可惜，印第安人没有杰克，更没有圣母。,5,力荐,415,0.8436802820790323
"
                    2021-03-12 15:05:59
                ",欢乐分裂,"11年后重看多少是袪魅的——可以预料的剧情推进和转折，不无拼搭的多重主题构成，绝对政治正确的诉求，过于杂糅的科幻元素，刻板的人设；然而，这又有什么关系呢，仍为触手可及的美丽而心动，仍在肆意酣畅的奔跑飞翔中沉醉，仍被生命的纯净本真与自然的神秘幽深折服。现在回望，无论是开启的3D技术风潮还是工业标准，时至今日还是超一流的，并在后来无数作品中都可见其影子。

仿佛与他们一起踏足那片神奇的土地，目睹贪婪与愚昧最终被信仰的力量和守护家园的决心打败，感受万物有灵的能量流动，一同在无比绚烂的梦境里完成想象——这么华美的画布很容易遁入其中，即使明白这只是一场虚假的“造梦”运动。",4,推荐,347,1.0
"
                    2009-12-23 06:48:33
                ",prost,印第安在白人领导下的反白人入侵战争，可惜史实与此相反,3,还行,2495,0.9900592770317536
"
                    2010-02-03 16:57:49
                ",徐淼淼喜从天降,"能不能四星半的|||不过已经很好了 美中不足的就忽略了忽略了
",5,力荐,167,0.9980276440982581
"
                    2009-12-18 00:01:08
                ",RKO,我整个人都潘多拉了,5,力荐,1335,0.5691507600506289
"
                    2012-08-18 13:57:24
                ",朝暮雪,"将科幻和奇幻巧妙融合，堪称21世纪最强想象力。
十年过去了，仍然没有任何一部电影终结《阿凡达》的票房神话，也许再过十年也没有。",5,力荐,241,0.9999971819629588
"
                    2021-03-13 22:13:50
                ",梦魇马戏团,"十二年前南京只有一家IMAX在河西万达，一家人周四晚上去排队买了周五22:00的电影票：但其实当时看完，并没有意识到什么，我记得当时报纸还说片子不如泰坦尼克号感人，卡梅隆不行了云云。
现在，我刚走出影厅，一想到这是一部12年前的电影，就感到一阵绝望：
我们一点进步都没有，只等着卡梅隆未来再提前十年二十年拯救我们。",5,力荐,160,0.7935679159789955
