time,uname,comment,star,title,support,sentiment_score
"
                    2016-12-01 22:46:33
                ",咸菜帮老大,以我有限的观影经验，优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。这个片子基本都做到了。,4,推荐,28006,0.9999973145080671
"
                    2016-11-28 22:41:13
                ",littledepp,有个印象很深的片段，首战第一晚他与战友两人坐在战壕里，战友开了一个罐头问他怎么不吃。满脸黑漆漆战灰的道斯笑着摆了摆手说：我不吃肉。多么可敬的人啊，他的信仰无法改变战争，而战争却拿他看似最普通的信仰也无可奈何。,5,力荐,10753,0.9999997862053951
"
                    2016-12-10 20:38:00
                ",frozenmoon,1.战争场面确实不错，子弹穿透头颅以及被炸毁的半个身子。2.感情线的设定有一种豁出去的庸俗。,3,还行,1173,0.9737888558862372
"
                    2016-12-08 22:29:13
                ",失控的小跳蛋！,队伍配置中奶妈的重要性,5,力荐,8549,0.775689071517178
"
                    2016-11-02 16:56:03
                ",同志亦凡人中文站,枪林弹雨过，片叶不沾身。信仰没能改变战争，但也没让战争改变自己。梅尔·吉布森的宗教狂热病和个人英雄主义都让我想BB，但因为有本命在闭着眼睛也要给五星啊～（只有加菲才能这么一脸阳光的面对杀戮和暴力，五好青年的笑容太美！！！）,5,力荐,3562,0.999999999981219
"
                    2016-11-29 23:21:18
                ",影志,“每个人的信仰都值得尊重，这就是最真实的我们” 我操，好久没看到如此热血经典范儿的电影了！复古老派，却看得老泪纵横。继上一部导演作品《启示》后，阔别十年的梅尔·吉布森依然出手不凡！恍惚在看2016的《地心引力》《勇敢的心》《拯救大兵瑞恩》《辛德勒的名单》…（短评也得老干部一点,5,力荐,2071,0.9999999999417386
"
                    2016-11-14 08:16:04
                ",弥呀,真实故事非常值得尊敬，但是这种满屏飞肠子的宗教狂热/主旋律的抗日神片风格实在不能认同。槽点多到数不过来，加菲主角光环大到可以徒手接手榴弹，队友捡回来的圣经可以直接穿越成入党申请书，日军智商战斗力全程不在线，没烧悬崖边的绳索，也不知道往下扔炸药包，啊…还有那迷之展开的感情戏…,3,还行,861,0.9999853534215989
"
                    2016-12-14 18:17:56
                ",亵渎电影,战场的残酷指数五星，战场之外的部分都是渣。,3,还行,417,0.9761990688634185
"
                    2016-12-12 14:03:36
                ",李小丢,李安想告诉我们英雄是会软弱会迷茫的平凡人，梅尔吉布森告诉我们英雄都是神一样的人。但是这部片的好处是，同样是展现人的神化，它可比手撕鬼子的剧真实多了。大概是因为真正的神从来不觉得自己所做的一切常人难以企及，他只是谦卑地认为自己做的还不够。克制是最大的美德。,5,力荐,1578,0.9999999999999973
"
                    2016-12-09 19:32:21
                ",瑾朵朵,观众纷纷表示：前一个小时简直昏昏欲睡。你看，不管是屏幕内外，大家关心的、想看的都只是流血、战争与死亡，没有人关心你的选择和信仰,5,力荐,1415,0.999999838884466
