time,uname,comment,star,title,support,sentiment_score
"
                    2022-12-30 10:21:30
                ",Heath,《导演和制作如何光明正大玩弄甜菜男演员标准教程》,3,还行,4368,0.9982619238943934
"
                    2023-08-11 01:12:35
                ",柳,这电影最厉害的地方是，最后直男没弯，而是变成了更好的直男,4,推荐,17260,0.9379499426318634
"
                    2023-08-10 19:35:55
                ",FINE,比预想中差一些又比刚开始看好一些。就像排了三个小时吃到一个一般好吃的火锅,3,还行,3612,0.46572705213752963
"
                    2023-08-10 18:22:37
                ",根,要素太多，大概是程伟豪拍才一定要拍探案故事，其实好看的都是同志元素+奇幻喜剧的部分，真不如给陈正道拍成都市爱情喜剧吧！但是两个演员实在太可爱，演“臭直男”也不讨厌，扮“死gay”也不显得做作，讲真大陆就算一万年后能拍这题材，恐怕也找不出这样的两个演员……,3,还行,3247,0.9994143666204606
"
                    2023-08-10 21:28:27
                ",spaceman,炎亚纶演的是本人吧..,4,推荐,11748,0.6648678046709866
"
                    2023-04-15 00:09:43
                ",三七,准确掌握了能骗到亚洲同志眼泪的不是动人爱情而是acceptance from Asian Parents。对着daddy issue死命煽情略尬。这年头确实也只有同志们这么热衷于结婚了。还是挺好笑的，臀也确实挺翘的。,3,还行,1081,0.9996776558585309
"
                    2023-08-11 10:52:59
                ",陀螺凡达可,为什么总是塞一大堆东西导致情节过剩像看了一部浓缩的八点档电视剧（屁屁是好看的,3,还行,460,0.6606144906103047
"
                    2023-04-13 14:16:21
                ",麻友安,成功的爆米花片，保守的伪酷儿电影。“死gay”被塑造为一个完美受害者，性少数身份基本只作为反差性喜剧技巧的载体，触发一些像是直男大改造、光屁股跳舞娘、vouging的男同刻板印象笑话。程伟豪又一次以纯熟的娱乐机制操纵着观众的头脑，前100分钟让人笑到爽，后30分钟再无节制地煽情让人哭到爽，俗套地回归传统东亚家庭价值观，揭晓父子心结原是一场误会， “不擅表达的好爹”和“完美的同性恋儿子”大和解。可惜的是，由异性恋、父权建构的陈旧叙事不变，仅仅是把gay缝合进主流商业类型片，并不能掩盖其内核的保守。或者说，这本身就是商业大片的原罪和潜规则，抑制观众的自主性和思考力，询唤异质个体，至多留下不痛不不痒、转瞬即逝的一抹涟漪，保证不对主流受众造成任何实在的冒犯。,2,较差,1909,0.999999999999996
"
                    2023-08-13 19:44:38
                ",理性の诗,谢天谢地片尾字幕没有“林子晴已被捉拿归案”。,5,力荐,8511,0.24655039125856038
"
                    2023-08-11 18:25:33
                ",大妇女,期待过高，元素过多，屁股好看,5,力荐,314,0.9213055298143698
"
                    2023-05-07 20:57:39
                ",被剩下的人,呜呜呜呜呜 香港电影院看的 观影氛围真好，看到许光汉的屁屁旁边的阿婆笑得比我都大声，很多精彩的地方大家一起笑着鼓掌。希望内地的电影院也能达成共识最后谢幕结束再开灯。我觉得这个电影妙的地方是，没有把双男主的情谊塑造成“爱情”，他们更像是超越了爱情的友人和家人，很真挚，很好！,4,推荐,3688,0.9999999994593294
"
                    2023-04-30 21:11:15
                ",Betterkwurwish,4.5！这片子台词蛮神奇，给对直男说：女孩子很厉害哪里需要你的保护；直男对给说：烂的才不是你而是那个渣男。还有 谁看完不会爱上许光汉呐！,5,力荐,8006,0.9952052102622635
"
                    2023-01-15 23:47:58
                ",李湘,许光汉和林柏宏的颜值太高了。完全长在我的审美上。有点搞笑。轻微有点吓人。长这么帅，直男也会受不了吧？哈哈哈哈。,4,推荐,3505,0.9466987862758635
"
                    2023-08-11 15:38:10
                ",𝙰𝚒𝚛,下雨天吵架端着男二的牌位去找他前男友，这种时候甚至还记得给牌位打个小伞,4,推荐,6959,0.25152718481439706
"
                    2023-08-10 14:45:55
                ",看电影看到死,程伟豪：“很开心能为LGBT群体发声。”吴瑾蓉：“我们做这部电影，是真的希望毛毛（毛邦羽）投胎以后的世界，是一个对北极熊、海龟、同志、女性、没有犯罪意图的直男们都更美好的世界。”,4,推荐,6274,0.9999999984938017
"
                    2023-08-10 23:31:09
                ",nono,关于阿拉东亚人变成鬼都在和家人和解的那件事,3,还行,5301,0.9358104709875046
"
                    2022-11-19 03:09:57
                ",木柵永樂町,"粉絲特供的神經喜劇，預計票房會賣座。
親情，理解同志，給孩子們提供一個「藉由本片與父母溝通」的契機…
誇張表演，飆車戲開場，後續逐步鋪陳「夥伴情深」，雖然不乏套路，但整體還算“順暢”，情緒點/反轉點/淚點/笑點/諧音/性暗示…堆很滿，但錯落有致…
演員hold住了，不會讓人明顯出戲…
如果視為Tw在類型片的又一部嘗試，《鬼家人》與《月老》各有所長，《月老》側重奇幻愛情片“特效技術”探索，《鬼家人》是“同志片“打到更廣闊受眾的“商業化”嘗試…
敘事鋪排，尤其是情緒重場戲，莫名接近🇨🇳賣座電影的灑狗血 [e.g.李煥英/小紅花]…
視聽層面 向🇰🇷🇺🇸類型片靠近 …（飆車戲=MadMax，橫推打鬥戲=OldBoy，王淨=小丑女…）
整體 可以看做是笑哭爽片，角色漫畫化，情節有些瘋癲…",4,推荐,348,0.00010350140418680098
"
                    2023-08-10 20:59:55
                ",言之,不敢相信！谢谢许光汉让我大饱眼福。,3,还行,4207,0.2646020360238499
"
                    2023-08-13 19:02:25
                ",和大伙儿去乘凉,“就像排了三个小时吃到一个一般好吃的火锅” 十分同意啊 我的嘴替,3,还行,272,0.2846286311869505
