time,uname,comment,star,title,support,sentiment_score
"
                    2008-03-18 18:58:38
                ",shu,我们不能在一起了，但这并不代表我不爱你 。,5,力荐,2921,0.3593164838982045
"
                    2008-04-11 19:08:38
                ",眠去,其实海报可以做得很很漂亮。。。,4,推荐,650,0.9008351658696819
"
                    2011-08-29 00:00:31
                ",亵渎电影,从酒吧回来陪他又看了一遍，这么纯的初恋是在太美了，而我们现在身边的爱情却总显得那么世俗，两人相对无言了许久。电影的纯在于情节的简单，一切只停留在最初的阶段，真正在一起了也许就会彻底不同吧。爱情这东西，也许真的分人，也许真的有爱就会有希望吧。★★★★,4,推荐,425,0.9999999999069313
"
                    2008-06-30 21:46:18
                ",苏比,我不能和你在一起了，但不代表我不爱你。,5,力荐,1709,0.3593164838982045
"
                    2009-01-21 16:15:11
                ",隆咚锵,"“寂寞得害怕。小时候，寂寞是因为没有朋友；长大了，寂寞就是比没有朋友更寂寞。我有时在想，如果真的很爱一个人，我们能接受这种事么？如果有一天，他死了，离别这种事是生命中的一个部分。我们都知道，我们真的能释怀吗？我们真的爱一个人，不害怕他离我而去吗？还有就是，我们必须接受，无论我们在哪里，所爱的人不在身边了；这样吧，就是寂寞。我这样都已经五年了，为什么我们的世界会是这样的？不知我们剩下的日子是怎样的……” 
",5,力荐,1216,0.9999999999999405
"
                    2008-04-18 00:54:00
                ",米姐起飞,根本就不存在太多的爱。只可能爱得不够。,4,推荐,258,0.6080429031966509
"
                    2008-07-11 23:11:45
                ",斑斑斑酱,用Mew的话说。如果真的爱一个人。怎能不害怕和他分离。而我们必须接受现实。于是，长大了，寂寞就是没有了爱。比没有朋友更寂寞。即使短暂也会刻骨铭心。那些点亮我们生命的爱。就仿佛这个发生在暹罗的爱情故事。 ,4,推荐,257,0.9999999992727691
"
                    2009-12-06 17:11:08
                ",城南草木生,够动人不够真诚,4,推荐,72,0.8909515851160085
"
                    2008-04-14 20:06:33
                ",安东尼,"彼此 相爱的美少年 就应该在一起!
小攻 的责任就是 照顾小受!",5,力荐,748,0.9959637174391056
"
                    2008-04-30 16:23:40
                ",大坏蛋先生,我想很长一段时间，我会无法抽离...,5,力荐,629,0.9645418429040827
"
                    2017-04-05 16:22:55
                ",蓝下老婆,小马里奥真的好看，都嫩出水了，剧情就一般般吧，管他剧情呢，看马里奥就行了😄,4,推荐,69,0.7010405809517922
"
                    2011-05-01 09:31:58
                ",米粒,长久以来都对这个片长望而却步，今天终于怀着满满的感动看完，泰国的青春片总是能给人太多太多的回忆。片中的女孩子们都可爱善良无比，爱果然是世界上最温暖的字。一定一定要珍惜给你爱的感觉的人。“就算不能在一起，我还是很爱你”。其实我也想对你说同样的话，那个夏天夜晚的拥抱已经足够美好。,4,推荐,68,0.9999999999971521
"
                    2008-04-07 12:27:24
                ",影志,有种感情比友情更单纯…“把爱放在心底，有爱就有希望。”Ying在圣诞夜把自己爱的人交给Tong独自离开的时候狠狠的感动了一把…“我们不能在一起，但并不代表我不爱你”,5,力荐,504,0.9999999843039873
"
                    2008-08-29 23:04:10
                ",狷介有乌青,其实有时候，我们只是在找这个世界上最懂我们的那个人，不在了，也就，不在了。（对温柔的声音最没有免疫力）,5,力荐,334,0.9699057602868852
"
                    2009-12-04 16:46:58
                ",小儿勾,我们爱一个人 不害怕他离我而去吗 但是我又在想 我们必须接受 无论我们在哪里 所爱的人却不在身边 这就是寂寞,5,力荐,241,0.9952479731689213
"
                    2008-04-13 17:17:47
                ",Hey Johnny,暹罗之恋症候群了，念记一辈子的电影。关于寂寞、友情、亲情，多纯粹的感情啊多纯粹~不纯粹的人你们不会懂。,5,力荐,130,0.999998513615612
"
                    2008-05-26 02:18:58
                ",勿扰，笑点低。,我恨这海报。,5,力荐,62,0.3822399293326909
"
                    2017-02-25 20:23:03
                ",幕天席地,情节有点拖拉，要耐着性子看完，姐姐好美,4,推荐,55,0.9684692199948604
"
                    2008-04-24 16:57:40
                ",木卫二,这么的好？,3,还行,243,0.6558628208940429
"
                    2012-11-14 19:20:38
                ",小岩井,这部电影让我想起一个人，于是就沉默了,4,推荐,34,0.9893381960330264
"
                    2011-08-20 22:08:03
                ",办公室甜心,"三小时一下就过去了，去过泰国之后再看这部电影有种更亲近的感觉，电影一点都不戏剧化，没有什么惊天动地的高潮，但是层层平静的叙述直中人心。那句""我们还是不要在一起了"" ""但是，这并不是说，我不爱你"" 以后也会写进Mew的新歌里吧。",5,力荐,52,0.9999999986248167
"
                    2008-06-08 00:03:33
                ",不良生,希望在很老很老以后，他还记得他为他唱的歌。,5,力荐,38,0.9964174002277191
"
                    2008-08-17 09:12:54
                ",尼桑，都是尼桑的错,"没有什么惊天动地的,翻天覆地的,纯纯的,轻轻的,却让眼睛忍不住一下就酸了。TONG跟MEW的道别 
""我们还是不要在一起了"" 
""但是 这并不是说 我不爱你"" 
MEW那定住的笑脸，那强颜的笑容。
就象那句台词，我们一直在为爱犯错，可是幸好是为了爱……",5,力荐,241,0.9999801370935624
"
                    2008-08-26 16:09:14
                ",兒子,因为有太多太多的爱..因为太多..都溢出来了....,5,力荐,32,0.05697107054377559
"
                    2009-05-23 18:59:26
                ",REDEYESKi,泰國都是美少女美少年！！！,4,推荐,32,0.9392960573264856
"
                    2017-02-18 13:27:08
                ",ᥫ᭡້໌,"我们还是不要在一起了
但是，这并不代表，我不爱你了",5,力荐,22,0.5153765149048273
"
                    2008-05-03 22:57:07
                ",贾不许,"“PLEASURE…PLEASURE 
　　THE BEST 
　　ENJOY WORLD 
　　I AM DYING SET HIM 
　　THE ENTERTAINED WITH SINGING AND DANCING IN JOYFUL. ” 
",5,力荐,25,0.005639652242213522
"
                    2017-04-10 00:47:34
                ",X,唯美小清新，小演员也不做作，最喜欢的同性恋电影没有之一，我就是这么肤浅,5,力荐,17,0.9996927284129498
"
                    2017-04-09 12:00:50
                ",请保持高冷,故事情节，演员演技，画面音效，每一个都很棒！,5,力荐,8,0.9998329527249066
"
                    2008-03-26 00:10:57
                ",梵,泰国人也这么帅,4,推荐,10,0.9634378840827765
