time,uname,comment,star,title,support,sentiment_score
"
                    2014-03-18 09:26:16
                ",同志亦凡人中文站,少年少年的初恋，世间最美不外如是。萌得快哭的节奏啊，初春晚上看这种小清新，结果就是整晚不停的踢被子～年轻真好！,4,推荐,442,0.9999999486997297
"
                    2014-05-05 22:54:09
                ",nichkhun,我喜欢和你聊天，我喜欢和你游泳打闹，我想确定你的爱，我喜欢你给我弹唱的 you are my sunshine ! 我想和你躺在海边看鸟儿从天空飞过，我想和你共同赢得比赛，我不想在庆祝胜利时身边没有你，我不想再把你推开，我想骑上摩托带你去远方！我要恋爱！,4,推荐,407,0.9999989024877648
"
                    2014-05-17 00:36:59
                ",K桑,最深刻的是，夜晚里两个睡不着的男孩出来骑车玩，偶尔发现森林里的鹿，他们憋住呼吸注视着，表情满足，切换镜头近拍，他们居然接吻，这个镜头太赞到连我憋住呼吸了…,4,推荐,404,0.9888799123107982
"
                    2014-04-23 00:20:31
                ",店小七.,所有人都来拥抱我的时候，我的眼睛却只有你,5,力荐,552,0.9494632763651547
"
                    2017-09-15 10:01:30
                ",轻风羽,在我看来，一堆男孩子比一对男女有趣许多，这和他们性向没关系，男女间总有表演的成分在，男男间才算得上有趣，男女关系小心翼翼，大多雷同而套路，男男相处放飞自我，生出许多忍俊不禁的瞬间。,4,推荐,199,0.999999963730104
"
                    2015-02-11 21:04:43
                ",种桃仙子,妈蛋，荷兰的基片就是清新，一点儿肉都不给吃,4,推荐,131,0.7129113296453564
"
                    2014-04-20 00:49:20
                ",亵渎电影,北欧小清新青春片，纯情耽美的美少年之恋，夏日，长跑，荷尔蒙，性取向，试探，犹豫，徘徊，勇气，又是传说中的豆瓣口味。小格局的电视电影，故事很简单，两个少年的纯爱故事也总是那么的似曾相识，让少年犹豫的不是出柜的外部压力，而是他不太确定自己究竟更喜欢女人还是男人。★★★,3,还行,183,0.9999999999999958
"
                    2014-06-04 10:02:15
                ",兮称,很符合独立小青年的调调，没有作业和手机，只有单车和森林，这样的青春多美好,5,力荐,370,0.9997977885710921
"
                    2014-05-04 23:35:57
                ",影志,其实那根“接力棒”很邪恶……,3,还行,123,0.9987447168520649
"
                    2014-06-17 15:54:53
                ",Morning,梅花鹿去了夜里的丛林。,4,推荐,96,0.7448272725775986
"
                    2015-07-19 01:53:08
                ",牛腩羊耳朵,年度Twink大赏，青春无毛的肉体跳跃在夏日撒满阳光的操场，田野，树林，池塘，夜色下静谧的沙滩上，没有一个地方要穿衣服啊！再也不要和满场中年秃头基佬一起看肉了，时不时此起彼伏的猥琐笑声，身边大叔每次看到吻戏就没了呼吸声，估计这九十分钟够他们撸一年了！,3,还行,84,0.99997930510263
"
                    2015-07-31 13:06:53
                ",沙力兔,夏日长跑 水中游弋 暧昧撩拨~池塘里试探一样的吻太好看了啊 夜晚偶尔发现森林里的鹿 他们憋住呼吸注视着 转头就吻上了> < 还有sieg扯marc的帽衫抽绳别扭示好~荷兰小崽子们的眼珠都是这么清澈好看的么!好想去!sieg的哥哥也是帅~~家庭戏难得拍的真实不乏味~比赛的长镜头拍的也是厉害~还有队友神助攻~~,4,推荐,53,0.9999999999528941
"
                    2014-05-11 13:31:15
                ",徐若风,夏天的温度和味道。男孩徘徊着什么也不想，什么发生了，但又和没发生一样。接力棒代表（同or双）性意识觉醒，水上碰手和之后逃避则代表了那份不明的犹豫。,3,还行,7,0.9998105745003592
"
                    2014-07-12 06:25:04
                ",LORENZO 洛伦佐,好美的摄影，虽然已经不习惯过于简单的叙事和小清新的出柜片，但还是很享受看电影的过程，又因为是荷兰片加一星。,4,推荐,31,0.9999569048276393
"
                    2014-08-03 23:12:28
                ",已注萧,当你年轻，做什么都是天经地义，青春无敌。,4,推荐,18,0.9998917846838661
"
                    2014-08-31 15:07:34
                ",办公室甜心,少年们的腿都超美,4,推荐,13,0.9976211462674481
"
                    2023-06-18 00:13:19
                ",阿迷大人,纯粹的爱情就是这样发生在电光火石之间的吧，情不自禁接吻，年轻的大脑却还没有反应过来，到底是发生了什么还是其实什么也没发生。训练和肌肉都很真实，甚至怀疑是不是从运动员里直接选的演员，家庭线也很不错，当然感情线也很棒，场景都拍得暧昧、富有隐喻而又令人心动，光线和构图很美，而配乐很节制。西格的眉眼好漂亮。,4,推荐,2,0.9999999999998006
"
                    2015-03-08 13:31:56
                ",科林,又唯美又动听，透过银幕仿佛能嗅到男孩们运动时的汗味、臭味、古龙香水味、荷尔蒙气味……从视觉、听觉、嗅觉、第六感觉全方位扑面而来…哦哟妈呀…荷兰出产的嘛~人家是同性婚姻合法化的先驱~可以理解啦~~~其他一般。,3,还行,11,0.9988170506471428
"
                    2014-07-14 00:14:01
                ",wang_,关于男主，影片里他最纠结的是不知道自己是喜欢女人还是男人。三星半，顺便提一句，父亲是《虔诚的鳏夫》里的鳏夫。,4,推荐,2,0.9828343819886016
"
                    2017-12-03 13:29:34
                ",电线杆的草稿,男一太作，男二太包容。没办法呢，初恋什么的，总会碰到男一这样的人。,3,还行,21,0.7640453646102376
"
                    2014-06-17 18:00:53
                ",Q。,画面干净明亮，配乐符合意境，青春悸动的少年故事十足吸引豆瓣腐男腐女。★★★☆,3,还行,3,0.9999999978410476
"
                    2014-04-26 21:18:01
                ",彌張,爱要不说才最美,3,还行,5,0.8630067411695594
"
                    2014-05-24 01:31:21
                ",恶之教典,中规中矩,3,还行,1,0.9960996160601565
"
                    2014-06-10 13:28:04
                ",迷你,我快被原声和摄影美哭了！！！！！！！！！！！！！！！！！！！！！！！,5,力荐,173,0.9770934079873113
"
                    2017-01-05 00:47:35
                ",面白饭Θ☉Θ,就喜欢看蓝孩纸谈恋爱////////马克帅的没有我，不是样子的帅，就是身材很棒性格也棒，又会撩_(:з」∠)_,4,推荐,4,0.9972292302966023
"
                    2014-08-16 12:05:38
                ",ashvsdeadevil,只能说实在老了，完全没触动,3,还行,6,0.2714492356037054
"
                    2015-09-05 14:16:52
                ",冉笛,滋味地道的青春，最后的最后，多像一个永远不要醒来的梦,4,推荐,8,0.9994012158895184
"
                    2014-05-16 22:11:48
                ",我最亲爱的小狗,啊啊啊啊啊我对这种又纯情又纠结的最没有抵抗力了！跟自由坠落感觉好像，但这个结局比那个甜多了，喜欢体育生的故事，喜欢在水里接吻那段、蹦床那段，最喜欢在树林里接吻那段！那小心翼翼的试探啊好揪心，鹿表示我眼被你们闪瞎了！后面有一段好虐好捉急但是最后进度条君撑住了！撒花。好喜欢~,5,力荐,143,0.9999999999944444
"
                    2017-02-05 16:36:08
                ",生人回避,满屏幕的青春期荷尔蒙,3,还行,0,0.9517958859780804
"
                    2014-03-18 05:30:08
                ",微疯阵阵,男主萌的我肝颤,5,力荐,108,0.9817079471364205
"
                    2014-05-11 02:13:15
                ",淋,世间最美是初恋。无意识投去的目光和凝望成为心中最美最纯的情愫，一切都自然而然，无关其它。把你的手给我，我们一起完成一场青春的接力赛。,3,还行,3,0.9999999993965265
"
                    2015-05-30 22:34:15
                ",半个桃李林檎,青葱少年的自我认同当然很艰难，不过从整体角度看还是美好居多的，无论是感情层面还是摄影层面,3,还行,0,0.9999974492630747
"
                    2016-04-27 15:30:57
                ",helenharris,Female directors are the best.,4,推荐,6,0.44767845850986676
"
                    2014-05-16 20:45:13
                ",豆瓣路人己,3.5分。简单的小清新青春电影，超级纯情的男孩之恋，夏日，运动，游泳，各种汇聚在一起，伴随这个简单的小故事，恰到好处。所有一切都不只是出柜，而多是对自己的认知吧。结尾刚刚好。,3,还行,1,0.9999999983246954
"
                    2020-03-16 23:08:13
                ",天马星,两个情窦初开的少年，一个眼神，一个吻，每时每刻都在闪闪发光啊！看完这片感觉空气里都弥漫着甜蜜的味道！ @2020-03-16 23:08:13,4,推荐,3,0.9999794972644597
"
                    2014-04-16 17:05:21
                ",白日梦,没字幕完全无压力，全程痴汉笑容,5,力荐,67,0.3037533971183731
"
                    2021-02-10 11:58:11
                ",啊么吸溜,在同类题材里算是很精良的作品，但有一些些的刻意狗血，比如最后一段的叛逃感觉完全没必要，男二既没有出事也没有转学，男主为啥突然撇下家人跑去找男二兜风？(°ー°〃),4,推荐,0,0.9494845235211454
"
                    2014-09-22 09:27:11
                ",小小鱼,不行了我被萌的死机了，cuteness overload…整个电影用两个词形容就是美好，舒服，两个满脸胶原蛋白美好得像小鹿一样的小少年小清新的甜蜜初恋，小清新的画面加上小清新的配乐，观影过程就像在喝一杯清甜的薄荷水，字幕都出来了还在那不能自拔的傻笑…啊啊啊老娘也想初恋！！！！！,5,力荐,58,0.9999995220442097
"
                    2014-04-23 19:44:40
                ",雨夜飞行,故事很好，节奏把握得也好。荷兰语听不懂，字幕也太坑了，非常影响观影感受,4,推荐,1,0.9765415415097994
"
                    2014-03-13 16:11:02
                ",jane,网上有个在线链接~试着发一下~http://www.npo.nl/zappbios-jongens/09-02-2014/NPS_1238783 不知道能不能出来~结局真好~,5,力荐,48,0.40100034436537935
"
                    2014-05-01 22:22:23
                ",Evil freedom,好纯，还好结局不错,3,还行,0,0.9995090415314842
"
                    2015-09-20 21:48:03
                ",容安,跑步的男孩子们都有一双好腿呢,4,推荐,7,0.9104221054304233
"
                    2014-08-01 21:39:36
                ",风舞狂澜,非常可爱的小清新~~~~~~,4,推荐,0,0.9492387400047467
"
                    2014-04-26 14:48:04
                ",乐天,可以再小清新一点嘛!!!两个美少年阿!!,5,力荐,19,0.18642461629321572
"
                    2014-04-28 19:31:21
                ",Eternal,可以做成短片的,3,还行,1,0.7590970359833034
"
                    2014-05-20 20:30:05
                ",kingsoon,接棒那一节，好紧张，默念道，快掉棒。,3,还行,1,0.7491096773682969
"
                    2017-12-08 20:22:20
                ",谢道林,阒静的树林，两男孩在夏日的水上初探了彼此的好感。日光下他们四处游荡，感情又暗潮汹涌。两人在夜晚的从林窥见觅食的小鹿，于是两男孩在那一刻确定了彼此的心意。太美的电影了。男主演得太好了，稀世珍宝。,5,力荐,12,0.999999880364206
"
                    2015-07-13 01:04:34
                ",坍塌,年轻真好，鲜活的肉体谁不喜欢？★★★☆,3,还行,1,0.9885331994463918
"
                    2018-08-10 23:26:04
                ",LeungChanXXX,还行吧，前半段还能有点小鹿乱撞的感觉，后半段无法喜欢男主角的作为，以至于结局的突然和解我都感觉是假的。,3,还行,3,0.9999603057135042
"
                    2022-05-12 22:25:03
                ",Huiboy,操场边的更衣间，冷饮店的冰淇淋，池塘中的浮树干，树林里的梅花鹿，游乐场的娃娃机，跑道上的接力棒，终点线的欢呼声，黄昏中的摩托车。,4,推荐,2,0.9999912731552781
"
                    2014-07-12 16:02:09
                ",温凯尔,ending看到自己前任的影子，不过前任的摩托车比较逊，遇到水的时候竟然叫我下车。,5,力荐,6,0.044517728701798265
"
                    2014-04-27 03:39:17
                ",É,中规中矩。,3,还行,0,0.9960996160601565
"
                    2016-01-25 21:22:16
                ",Panda的影音,为毛最近看的电影，虽然片子并没觉得拍得非常棒，但我观影后，都有为此打五颗星的冲动？—— 有时候，真觉得自己的生活太像电影了，剧本偶尔戏剧性得连我自己都有点不太敢相信那些情节就真的就发生在我的身上！《龙虾》《云中行走》《男孩》……算上《缄默的迷宫》（影评），都能找到自己生活的影子。,5,力荐,6,0.9999999999632041
