time,uname,comment,star,title,support,sentiment_score
"
                    2019-04-18 23:14:28
                ",影志,“今天拳击打得够多了” 一个篮球比赛打成了拳拳到肉的拳击赛，哈哈哈。虽然一开始就知道故事结局，苏联队最后3秒逆转评分制胜美国队，就一直在期待电影要如何讲述才不至于没有惊喜。结果厉害的是，就是最后这场奥运赛，竟花了近1小时还原各种细节和完整度，几乎于直播，几乎占去全片一半戏份，这就像《波西米亚狂想曲》还原演唱会一样逼真和震撼…各种山穷水尽、峰回路转、直到最后的惊天逆袭，一气呵成，都不像在看电影，而是直接在看球赛了。,4,推荐,1535,0.9999999997466877
"
                    2018-03-02 14:47:48
                ",мая,7，基本算是客观，72年男篮决赛确实是史上最具争议的一场篮球比赛，而且其中蕴含的政治意义也颇值得玩味（美苏冷战交锋、慕尼黑惨案、苏联的内部民族问题），最后投入绝杀球的别洛夫6年后也确实因病去世了，这个电影很大程度是拍给他的。,4,推荐,1337,0.9999999978239875
"
                    2018-03-22 07:52:35
                ",kitty62888,“我打球的时候立陶宛整个街道都空无一人”“他打球的时候整个白俄罗斯都休假了”,4,推荐,1518,0.9425723127104223
"
                    2019-06-14 12:13:58
                ",大海里的针,非常热血，尤其最后三秒的长镜头。影片没有那种狂热民族主义，而是说苏联在篮球场打败美国，是用了美国的训练方法、治疗药物和隐形眼镜。完整版也还原了苏联运动员参与叛逃、走私，以及慕尼黑惨案等历史细节。,5,力荐,802,0.9999999968971347
"
                    2019-06-08 23:09:04
                ",唉唉唉德华,看完很容易让人失去判断能力的片子啊，上帝视角和升格镜头两板斧式的搭配，简单粗暴但确实非常奏效。前两幕拍的太流水缺乏层次，但是超长的第三幕实在太爽、太刺激、太振奋了。将当年的比赛状况进行重构式的银幕直播，完全震撼人心。这电影在意识形态上也占优势，一方面是美国的国际霸权形象大家都心知肚明；另一方面是电影价值取向上并没有厚此薄彼，依然从角色层面出发，表达了对于苏联自身体制的调侃与反思。所以如果有人说这是主旋律电影，那说明他基本没有理解体育竞赛的本质意义是在于国家而不是政府。不过这个电影引进的时机对于当下国内的风向，就是另一说。,4,推荐,594,0.9999999999999898
"
                    2019-06-08 21:09:16
                ",谢谢你们的鱼,真有你的老毛子，把历史上真实的体育比赛拍成了《少林篮球》，两个小时的电影一个人物都没有立住，一个完整的情节都找不到，一切都好像是为了最后的三秒钟而服务而非故事本身和人物本身，本质上依然是一出苏联的主旋律抗美神剧，一腔鸡血打满两个小时，大量MV、广告式画面以及升格镜头看得人腻烦，拍体育片能不能对运动本身有点尊重呀？,2,较差,120,0.9999630279110097
"
                    2019-04-16 20:05:08
                ",阿暖,最后一场篮球赛拍得太好看了，真的好看，除了好看我还能说什么，日。不记得多久没有这么激动了，后排的抽泣声代表我的心。（没有打五星是因为中间有几段断裂感实在很严重，简直看得莫名其妙，回头一看我擦，国内版剪了十三分钟啊！,4,推荐,562,0.5107240155885574
"
                    2019-06-19 00:15:06
                ",爱歪不歪,看着越来越高的评分我真的是魔幻了。就电影本身，一部体育逆袭片，很多处理和重点上都十分不合理。刚去美国打了个大学友谊赛期待着逐步腾飞了结果直接下一秒就上奥运会了；奥运会上连个过程都没有直接给我决赛了；决赛上连个球员技术特点都没有就直接上感情压制夺冠了。。。对震惊世界的人质事件连基本谨慎尊重都没有，处理得像剧情发展所需的一个契机实在是太不成熟了。就电影拍摄，热血不及日本动漫，逆袭不如印度电影，幽默不如好莱坞处理得当。白搭了一个好题材,2,较差,30,0.9999999993581627
"
                    2018-02-19 16:56:23
                ",甘草披萨,又燃又感人，看简介知道结尾，仍没想到如此一波三折激动人心，到最后不止是拼技术和心理素质更是为报答教练救命/知遇之恩，“为祖国而战”非但不矫情反而那么自然动人，奖金一幕泪目，俄式正经严肃脸的幽默感太逗了，自黑厉害，姓氏逼死解说员了啦，就时代背景而言其实可以拍的更有深度但完全可以理解,4,推荐,386,0.9999999786349874
"
                    2018-02-18 19:50:59
                ",vivi,4.5 俄罗斯是还有多少绝佳的题材没有拍出来啊,5,力荐,1233,0.9853510050434211
"
                    2018-03-01 14:52:51
                ",星空清理者,进球就可以入党，篮球的运动镜头不好看，对立面设置的太简单，政治意识形态的表达勉强及格，只能说中规中矩，倒是俄罗斯人那股子耿直劲儿是发自内心的喜欢，喜欢他们拍电影讲故事的风格凛冽又温柔,3,还行,721,0.9999986970742462
"
                    2018-02-27 20:54:35
                ",JIDUDU,专业上当仁不让、生活上给队员信任空间、下了赛场默默坐在角落，从教练的身上仿佛看到神所的老蒲。才知道72年慕尼黑奥运会这么混乱……当年我国是不是还在学习老大哥？老大哥在奋力追赶美国。,4,推荐,330,0.9999994608554907
"
                    2018-02-18 00:46:32
                ",Mido,难怪美国队一直不领牌，还带这样的，哈哈。现在俄罗斯电影黑一下苏联官僚也成套路了真的有点腻，狗血情节很多但是好在继承了感情很节制的优良传统。知道比赛结局看得还是超紧张，结尾和马大叔一起热泪盈眶了。海报真烂。,4,推荐,261,0.9999999995788387
"
                    2018-06-17 18:05:11
                ",阿顺,故事超燃，节奏太棒，非常好看。,5,力荐,555,0.9953953125581433
"
                    2019-06-09 23:27:50
                ",喻鸣,战狼级别的运动片，热血又燃情，难怪乎俄想重拍《切尔诺贝利》，美则想重拍《绝杀慕尼黑》。冷战背景下，国际恐怖事件不断，国内物资短缺、监控遍布、信任缺失，令这场骑虎难下的奥运赛事前途未卜。影片处理十分类型化，冷幽默，段落多，群像各具特色，兼顾各种国际背景，可惜删减过多影响连戏。好在情感和视听感都代入性强，即便赛况预知结尾，过程依旧牵动人心。归根结底，逆转、绝杀这些词背后往往倚仗的是球员强大的心脏、队伍钢铁的意志以及团队澎湃的战魂！爱赢才会拼，天生要强才会后天强大。,4,推荐,95,0.9999999999997904
"
                    2018-04-19 05:15:45
                ",FAYA,美国赛前说：这不只是一场比赛，这是意识形态上的一场战争，展示民主终将胜利。苏联队的球员对苏联并没有民族认同，赛前说：没人相信我们能赢，除了我们的教练。他为我们破釜沉舟，所以我们不能辜负。鼓吹个人主义的队伍急功近利，所谓“铁板一块”的集体却充满了人道主义精神（换美国一定反过来拍）,4,推荐,102,0.999999847972515
"
                    2019-06-13 22:32:29
                ",张小北,奥运史上最有争议的一次胜利，催生了这部来自俄罗斯视角的体育传奇电影。所有励志电影的核心都是一个传奇人物带领一帮不被看好的失败者战胜偏见和自我的冒险旅程，而这部面对争议和偏见的体育电影做到了。最后3秒的高速升格慢镜头，十分精彩。,4,推荐,51,0.9999999999999993
"
                    2018-02-18 02:50:55
                ",密斯湖,超燃！苏联队教练是《急袭》里魅力十足的警官，赢最后一球的萨沙·别洛夫贼帅！我好喜欢那两个动不动就跳起来的格鲁吉亚人2333,5,力荐,269,0.9961520081099101
"
                    2018-05-25 23:45:26
                ",赵鹏飞,期待尽快上映。片方哥哥终于帮豆瓣把译名改。热血，震撼，精致。故事基本符合历史。爱情、苏联内部问题、对美国的吐槽和竞技巧妙地放在一起。真实和虚构融合很好。最后3秒钟呈现很好。还巧妙埋设喜剧线索。俄罗斯人的篮球励志电影能拍到这么好。因为个人无知和好恶故意恶评，明显是智商不足的体现。,5,力荐,230,0.9999999999999603
"
                    2019-06-15 00:04:45
                ",桑,相似的体制，近五十年前的冷战大环境，许多细节是如此引人共鸣，譬如在训练手段、物质、医疗等条件上都远不如人的前提下还固步自封的体育局官员，那些自作聪明又耳熟的官方声明背后引人发笑的卑琐心态，意识形态之争为个人带来的诸多限制，出境打球带货回国自带的笑点和球员不能自由结婚体现的体制对个人的禁锢。诸如此类的细节实在太多，不禁让人想到，在这样的的体制内，运动员不过是一枚棋，一切荣誉取决于成败，体制才不在乎他们，正如当年被高高抛起奉上神坛又被狠狠抛下的刘翔。正是如此才被电影中尊重个体，热爱体育和竞技精神的教练真实地触动到……为自己的国而战，为体育为团队获得荣耀，而不是为所谓的party。一定要去影院，一个字，爽,5,力荐,100,1.0
