time,uname,comment,star,title,support,sentiment_score
"
                    2011-01-05 23:32:47
                ",王德发,贝尔去拿個最佳男配吧！！,4,推荐,358,0.11519700342271033
"
                    2011-02-01 20:36:59
                ",ⒹⓎ,不仅仅是演技，电影本身就是在讲一个“最佳配角”的故事。大多数情况，做好他人舞台的配角比做自我空间的主角更难。当你出人头地时，请不要忘记背后那些隐忍的力量。,4,推荐,187,0.9999998201470167
"
                    2011-01-08 18:56:43
                ",刘小黛,贝尔为拍戏把自己整得和个充汽球一样，这回该给他个最佳了。,4,推荐,75,0.49982300159626936
"
                    2011-01-05 21:32:42
                ",桃桃林林,汗，我完全搞不清楚贝尔算男主还是男配。演员们太强大了，奥斯卡上包揽男女配也不是不可能。导演比《夺金三王》的时候成熟了。纪实风，相对松散的结构。关于家庭的描写，这也促成了全体演员大爆发的情况。加油，贝尔，虽然我不想张艺谋占你的便宜。,3,还行,136,0.9999194936854477
"
                    2011-01-06 16:45:22
                ",Doublebitch,"Christian Bale是个真正的男子汉。
",5,力荐,229,0.9292541936201975
"
                    2011-01-05 23:20:07
                ",Q。,朴实的叙事手法，真实的情感，各演员间群戏很是精彩。但俨然如影片最后一段的那场比赛前的新闻发布会一般，克里斯蒂安·贝尔这位男配在电影里实在太过抢戏，让人觉得更似男主一般。他的牺牲和敬业也十分有望给自己带来一座小金人。★★★,3,还行,48,0.9999999999113403
"
                    2011-01-08 16:57:50
                ",kingkongofkhan,鸡血哥，闷骚弟；纪录片风的镜头，节奏明快通畅，直接自然，没有那么多励志老调般的煽情情愫，他就那么简单明了，但依旧让你过瘾。,4,推荐,67,0.9999134018059925
"
                    2011-01-25 15:01:38
                ",亵渎电影,角色戏份分配上的失衡让这部电影整体显得过于散乱，整部影片就透着那么一股俗劲儿，幸好还有一群奥斯卡级别的好演员在这个乏味的故事里强撑着，不出意外，克里斯蒂安·贝尔就是明年的奥斯卡最佳男配！老谋子捡到金子了！★★★☆ ,3,还行,23,0.9999951491627945
"
                    2011-01-06 10:58:29
                ",火龙果不耐受者,《斗士》明显头重脚轻，结局处理的也不好，戛然而止缺少深度。冲奥还欠火候。不过，贝尔完全是演技大爆发，梅丽莎也很多亮点。,4,推荐,69,0.9990602194877929
"
                    2011-01-06 21:57:31
                ",Echo//BA叔是宝,加到五星只为给贝尔。我所钟爱的贝尔不是蝙蝠侠也不是救世主，是American Psycho里的杀人狂，是机械师里的失眠者，是这部片里的斗士～～～,5,力荐,174,0.1491851429565776
"
                    2011-12-27 22:19:53
                ",罗弘霉素,简而言之一个道理：家庭内部矛盾缕明白了才能事业成功。贝尔的最佳男配角实至名归。,4,推荐,56,0.9737322549503326
"
                    2010-12-19 15:01:26
                ",四四,因为ChristianBale才给4颗星，电影本身3颗,4,推荐,47,0.19822569236137733
"
                    2017-03-28 00:28:37
                ",(๑⁼̴̀д⁼̴́๑),这时，迪克为了给米奇筹钱冒充警察收费被捕入狱，还连累了米奇。从此，兄弟反目，家人支持迪克，莎琳支持弟弟。这个局面一直僵持，直到米奇重新比赛才发生转机,4,推荐,17,0.9981625862318079
"
                    2017-03-28 11:21:28
                ",mingjoyce,以勵志作品來說，本片相當寫實貼近人群，在資源落後小鎮的藍領勞工的奮鬥歷程，給予時下人們勇於追逐夢想的勇氣與決心，敘事方法卻又不會沉悶無趣。拳賽呈現方式也是高潮迭起，加上配樂襯托能讓人融入其中，時代復刻也相當到位，而完美結局沒有讓角色有任何負向發展的設定，是相當值得用心觀賞的作品。,4,推荐,14,0.9999985054260565
"
                    2013-01-12 00:41:52
                ",托尼·王大拿,两年后重看，发现我当初真是低估了这个拉塞尔：虽说这片子没能做到标新立异或是推陈出新：但导演已经做到了类型片的极致，几个长镜头和360°的绕臂实在是漂亮，还有声画结合的蒙太奇真是棒啊，控制力极佳；这一干演员的表演也实在够抢眼，只是可怜了沃尔伯格，身为制片却被三个黄金配角的强大气场TKO了,4,推荐,8,0.9999851723074393
"
                    2011-01-06 21:00:43
                ",Lavender,贝尔果然很适合这种神经质的角色，表演得也相当出彩，最后比赛前召开新闻发布会那段应该是最好的写照了。虽然被报名到配角部门，但我还是觉得他的角色才是真正出彩、吸引人的，而且戏份也并不必沃尔伯格少，这样的片子应该就是冲着奥斯卡表演奖项去的吧，贝尔好运。,3,还行,29,0.9999999984420656
"
                    2017-03-28 08:37:36
                ",美美哒Cindy,挺刺激的，主演好man,4,推荐,10,0.9643017429210659
"
                    2017-03-29 12:19:44
                ",半城风月,贝尔演技超赞。剧情基调热血、励志，积极向上的人活得最快乐。,4,推荐,13,0.9999810278696277
"
                    2011-01-06 07:35:43
                ",TORO VAN DARKO,与同类体育励志片一样，主角的战斗承载了高于胜利本身的意义，此片特点在于米奇是为故事和其他人物穿针引线的虚设主角，影片着重刻画的是他的家庭和环境，这样设定也更有效的表现了主题。几个主演为观众奉上了绝赞的群体表演，贝尔更是耀眼出色光芒四射。,4,推荐,5,0.9999999979654102
"
                    2013-08-03 11:23:53
                ",巴喆,贝尔最佳男配绝对是实至名归！不仅如此，各个角色的演员飙演技看的真是让人爽啊。7.9,4,推荐,5,0.996306349323928
"
                    2017-03-29 12:16:22
                ",苏晓晓,挺热血片子,4,推荐,8,0.9690997454250839
"
                    2011-01-17 23:07:30
                ",张小强,拳击是离奥斯卡最近的题材,3,还行,23,0.578358371484878
"
                    2017-03-29 10:09:26
                ",倩婧箐菁靓,剧情挺丰富，后半段看的挺热血的,4,推荐,10,0.9942045821697499
"
                    2011-01-22 22:14:17
                ",辣辣的皮特,这片说的就是怎么把一团毛线理清。,3,还行,16,0.2315861648317621
"
                    2011-01-20 02:48:47
                ",Ixtab,从头到尾都是Dicky Dicky Micky Micky,3,还行,15,0.5476679489184044
"
                    2011-01-05 17:59:01
                ",浑浊儿,拳击兄弟之家家有本难念的经,4,推荐,18,0.7633218407102708
"
                    2017-03-28 11:04:20
                ",吃货月,励志,3,还行,9,0.4782608695652175
"
                    2011-01-14 01:18:09
                ",影志,这种总是要在后半段才让人入戏的电影，说它平淡无奇又有表演的亮点，说它渐入佳境又不乏情节的俗套，总归是迎合颁奖季的电影，索性各种迎合，成了这部没有太大突破的好莱坞式流水线励志佳作。,3,还行,11,0.9999999336882135
"
                    2011-02-09 19:56:44
                ",匡轶歌,片子乱糟糟。贝尔亮晃晃。,5,力荐,6,0.0042929406574363504
"
                    2011-01-03 16:40:18
                ",猪大腿,96/100。1小时19分处那场三重直播的拳赛看得我眼泪都流出来了。贝尔在艾米亚当斯家门廊的那场戏绝对是年度最爱场景之一！很开心能有这么好的一部片子陪我开启新的一年。,4,推荐,60,0.9999883036304159
"
                    2017-03-29 21:56:44
                ",可缓缓归矣,好热血，人生就是在不断的奋进着,4,推荐,6,0.9100266167474105
"
                    2011-02-04 19:42:04
                ",艾小柯,无比赏心悦目的节奏安排，尤其大决战一场。Christian Bale的演技令人折服。4.5星。,5,力荐,9,0.9992732215288488
"
                    2011-12-30 02:57:28
                ",Lan~die,生活中迷失的兄弟重新找到自我的故事。人物拍活了，从多年的逃避隐忍中迸发出的力量惊人，万年龙套克服自我的loser逆袭太动人。最重要的不是别人的看法，而是你想成为的样子，男人不惧。台词：你为你的生活奋斗过吗？想赢，就成为你做不到的人。这是属于你的时刻，抓住它。你现在只要拿出所有，操TMD！,4,推荐,7,0.9999999995030799
"
                    2011-02-01 18:35:03
                ",StanGoD,a big eight-round KOs,4,推荐,0,0.30451092871711205
"
                    2017-03-29 10:11:26
                ",不侠与,演员演的超级棒,3,还行,13,0.9960803410291796
"
                    2017-03-28 09:27:08
                ",╯^╰,节奏明快，剧情流畅,3,还行,12,0.9961980066812413
"
                    2011-02-24 01:20:54
                ",裘笛,中規中矩的勵志片，紀實風格。突出之處是演員部分，Bale和Leo 分飾頹廢老哥與專橫老媽，相當搶眼。Amy Adams 那角色其實還好，大概是鼓勵她突破自我戲路吧。被配角搶光戲的Mark Wahlberg部分吃虧在角色太正沒有爆點，打拳的樣子倒是看得出來下過苦功,3,还行,5,0.7561671917265839
"
                    2018-12-05 15:27:51
                ",西楼尘,对着我拍的摄像机，还以为拍到了我上勾下勾，一个肾击打败操蛋人生的漂亮瞬间。结果却是我被生活揍得鼻青脸肿，被毒品逼至围绳无处脱身，看着儿子在法庭上流泪无能为力，兑现不了许给女儿的美好未来。谁没在拳台上做过抉择，是顺应期待，还是主宰人生。是全面防御，还是主动出击。是做斗士，还是懦夫。,3,还行,4,0.9999999987765666
"
                    2011-04-06 00:16:23
                ",godannar,过去曾有一支孤独的意大利种马想要对抗整个世界，他赢了，成为了英雄。现在有一个孤独的人想要对抗爱的牢笼，他赢了，但他绝不会成为英雄。我真的希望看见他赢吗？我不清楚。我只知道一件事：虽然现在已不是英雄与爱的时代，但我，仍想要一个新的传说。,3,还行,3,0.9999999999966855
"
                    2011-03-12 21:47:34
                ",五色全味,有笑有淚，拍攝技法不落俗套，還能再勵志點嗎？！！貝爾是我心中的奧斯卡影帝，完全是出神入化全情投入！！！！,5,力荐,11,0.9871861724230391
"
                    2017-03-29 08:36:24
                ",红色的狐狸,贝尔，嗯,4,推荐,13,0.5
"
                    2011-03-27 19:45:07
                ",开,贝尔。,4,推荐,0,0.5
"
                    2017-03-29 19:52:51
                ",一只小花猪,演技炸裂,4,推荐,11,0.7297953905324696
"
                    2011-01-04 19:28:39
                ",扭腰客,贝尔好棒~！,3,还行,5,0.9564950413293839
"
                    2011-02-13 10:34:14
                ",大灰狼,拍得有点2，不过没127小时2，沃尔伯格没提名？天杀的,2,较差,0,0.01430154861734556
"
                    2011-06-02 22:47:51
                ",天蝎小猪,励志片,4,推荐,0,0.5021579248194599
"
                    2011-02-14 20:33:44
                ",衫弃,集体表演，糟心的片,3,还行,0,0.8294928541677491
"
                    2011-02-15 19:41:28
                ",Earl Mists,有完没完的传记,3,还行,0,0.8692925065844699
"
                    2011-08-21 01:06:42
                ",Notorious,出乎意料的好看,5,力荐,0,0.9420701433202184
"
                    2011-11-01 17:54:50
                ",Ck,3星半 : 節奏啊節奏不要浪費了演員的演技,3,还行,0,0.030617805626173222
"
                    2011-04-08 00:40:21
                ",米斯特 爱欧,还行啦 没 摔跤王那么震撼 算 中规中矩传纪片,3,还行,0,0.9994276050959674
"
                    2012-09-04 12:59:11
                ",云心逸,每个人都有一段故事www.longfei786.com,2,较差,0,0.8752757269411502
"
                    2011-08-05 23:56:39
                ",我还是我,x,3,还行,0,0.5833333333333336
"
                    2012-06-13 16:50:46
                ",roro520121,尚可,3,还行,0,0.6124031007751939
"
                    2014-11-02 23:38:47
                ",掉线,【B】其实各方面都挺好的，奈何就是不打动我。。。感觉拉塞尔就是个差一点版本的马丁斯科赛斯（或者差很多）,3,还行,1,0.9793437897398369
"
                    2013-04-07 10:12:49
                ",我是大皮哥,欧不= =…… 大卫·欧·拉塞尔拍片永远是那么有点门道但是又不够真男人的铁血硬朗总是像夹生饭一样搀和一点娘们气儿- -，乌云背后的幸福线里发现了这个问题，没想到回看这部早年之作斗士亦是如此。1星给我贝尔叔狂减X十磅的恐怖柴骨身材，1星向拳击致敬，第3颗星给我大艾米的酥胸和情趣黑色蕾丝内衣吧-,5,力荐,2,0.9999999989171879
"
                    2011-03-25 17:48:26
                ",七颗子弹,和《洛奇》一样经典！！！,3,还行,0,0.4011885914987289
"
                    2011-03-03 22:28:13
                ",泰坦,稍显平淡的励志片,3,还行,0,0.8161271094078856
