time,uname,comment,star,title,support,sentiment_score
"
                    2010-03-27 21:26:03
                ",战国客,没有在比赛最后的阶段搞出煽情女主角惊现场边，男主角原地满血复活式的桥段，是本片最值得称道的,4,推荐,1228,0.9925407827116922
"
                    2010-04-20 16:18:24
                ",安东,人们在Rocky的虽败犹荣里陶醉亢奋，他却只顾在人群中孤单地呼喊他的Adrian。,4,推荐,670,0.9977884543272586
"
                    2015-09-15 00:56:03
                ",安德烈大叔,"第十三轮，我已被现实揍的面目全非，依稀中我听到那些喧嚣的嘲笑和偏见高呼着""失败者”，我咽下了嘴里的鲜血，选择站到最后一刻，我的成败怎么由得那些人去审判？",4,推荐,429,0.9999923519528698
"
                    2016-06-29 13:26:59
                ",Panda的影音,最后的拳击场面拍得好朴素，简直就像看现场直播。—— 花絮（网络）：⒈在拍摄最后决战场景时，史泰龙和韦瑟斯全都饱受伤痛之苦，前者肋部青紫，后者鼻骨受损；⒉洛奇镜子上的那些照片，的确是西尔维斯特·史泰龙年轻时候的照片；⒊西尔维斯特·史泰龙把这部电影的版权卖给米高梅的条件是，他自己必须是本片的主角；……,4,推荐,116,0.9991175578622645
"
                    2008-03-02 15:19:49
                ",大鱼,如果我输了那也无所谓，如果我能打满全场，当铃声想起，我还站在场上，我这辈子将第一次明白一件事：我再也不是个蹩脚货。,5,力荐,1137,0.6673557360219825
"
                    2008-11-08 19:49:29
                ",邑屹,"一个默默无闻的小人物，经历了贫穷、孤独、人们的冷漠，依然坚持着他的事业，平淡无奇的过程最终没有挫败他，终于走出了困境登上了事业的颠峰。

所以，纵使所有人放弃我们时，我们至少还拥有自己。",5,力荐,473,0.9999999962947557
"
                    2008-05-12 11:58:18
                ",#烧光光#,没有比这更朴素的励志电影了,5,力荐,663,0.8671244415228487
"
                    2017-02-18 09:59:14
                ",mingjoyce,的確是一部可圈可點的佳作，一部精采的拳擊/運動電影。,4,推荐,162,0.8798603170349837
"
                    2008-05-31 00:55:26
                ",WhoAmI,第一部，故事才刚刚开始。其实很多女孩子很漂亮，只不过需要有人慧眼，洛奇具有这种能力。,4,推荐,118,0.9978886630998649
"
                    2012-02-17 17:19:22
                ",托尼·王大拿,朴素，但也有点糙；费城艺术博物馆前那一大段斯坦尼康真是燃炸了，有点像是史泰龙的半自传。,5,力荐,50,0.9987538517480391
"
                    2008-06-06 21:47:04
                ",优雅的胖子,Rocky晨练时的形象与背景音乐完美的融合突然就那么打动了我。,5,力荐,461,0.9970402305969673
"
                    2008-04-23 02:36:54
                ",Lan~die,"向生活挥拳，跟每一天战斗，男人不惧！想起另一位费城之子，AI。
台词：“不是为了获得什么，也不是为了证明什么，我只是感到身体里仿佛有一头野兽要脱笼而出，只有站在拳击台上才能把它赶走。 ”",5,力荐,267,0.9992201405994509
"
                    2008-11-11 22:33:40
                ",夜川直心,是的，他就是我们每一个人,5,力荐,356,0.5490641404446199
"
                    2015-12-30 19:19:11
                ",冰红深蓝,史泰龙自编自演的成名作，1977奥斯卡最佳影片。1.朴素，简练，感人，后来的[愤怒公牛][百万宝贝]都有本片影子。2.二人在溜冰场一段最温馨美好，晨跑场景最热血励志。3.最早运用斯坦尼康的影片之一(跑上楼梯与部分拳赛场景)。4.意大利种马vs美利坚国旗。5.极简配乐和主题曲大赞。（9.0/10）,4,推荐,117,0.9999998531363876
"
                    2011-02-05 06:36:58
                ",momo,简直就是美国往事或者教父的拳击版啊。。给了很丰富的背景信息，人物刻画也细致，所有笔墨都放在比赛之前，真是有左传风格啊,5,力荐,22,0.9998178914954633
"
                    2007-06-30 17:18:53
                ",左明情,最简单的逻辑，会产生力量。,4,推荐,237,0.98079842178263
"
                    2020-06-01 01:09:42
                ",小心火烛,我其实很害怕，如果rocky赢了，这部片子就塌了，还好最后给了个不过不失的结局。这部片子即使在2020年的今天，仍然是非常规的，它不热血，它也不愤怒，相反，它很平和。最感动的是rocky最后根本不在乎拳赛的结局，输赢？复赛？他只在乎adrian在哪里。因为，Rocky其实不是要拿世界冠军，他只是想证明，他不是废柴。是啊，人的一生哪里有那么多成功和运气，更多的是无奈，但我们很多普通人，不过是想证明，虽然自己不是万人之上，但肯定不是废柴。,5,力荐,28,0.9999999999998475
"
                    2009-09-21 00:11:40
                ",嘉得乐,史泰龙应该是最健壮的编剧了,5,力荐,181,0.6023014030942687
"
                    2012-08-07 15:21:55
                ",易,影片之前是典型的社会分析电影，黑人拳王对阵人生失败的业余白人拳手，白人整体堕落而黑人拳王却是一副政客范，媒体只把洛奇当真人秀选手，而恋人莉安又因为偏见而自卑，但是最后那场拳赛确实又调动了我内心所有的雄性激素，也化解了一切。,4,推荐,15,0.9999999971126601
"
                    2008-07-12 15:54:32
                ",我是Tina。,"不是为了获得什么，也不是为了证明什么，我只是感到身体里仿佛有一头野兽要脱笼而出，只有站在拳击台上才能把它赶走。
",5,力荐,43,0.9435970626512344
"
                    2007-03-25 20:16:17
                ",铁皮骑士,我喜歡這種平淡而不息的感覺,2,较差,137,0.4102326291966434
"
                    2012-01-28 16:22:51
                ",宅拾叁,相信我西班牙和国足的比赛即使你在赛前宣传的多卖力，真正观战的大多数是中国的铁杆。每次看史泰龙编剧的片子都能让人蛋疼。,4,推荐,4,0.958036936800905
"
                    2012-09-05 10:19:36
                ",米粒,史泰龙年轻时候不那么面瘫的时候还是很不错的，这就是他自己生活的写照吧！好蠢萌啊！迎接朝阳奔跑的时候配的音乐真好，最后也没有落狗血俗套（这只是故事的开始。。听说有7集感觉好累不会再爱了。。,4,推荐,18,0.9999990333122452
"
                    2015-08-27 13:13:40
                ",巴喆,“不是为了获得什么，也不是为了证明什么，我只是感到身体里仿佛有一头野兽要脱笼而出，只有站在拳击台上才能把它赶走。 ”最热血质朴的励志片，而且结尾不落俗套更成就其经典。8.1,4,推荐,21,0.9999933572575609
"
                    2017-02-18 09:26:48
                ",╯^╰,剧情很赞，算是励志电影里很不错的了。,4,推荐,25,0.9994217130492307
"
                    2014-03-11 11:51:09
                ",我是大皮哥,“如果我能打完全场...当铃声响起时，我还站在场上，我这辈子将第一次明白...我再也不是个蹩脚货。” 和《愤怒的公牛》一升一降交相辉映，一个男人要挨过多少记拳头才能被称之为男人。看片的时候一度抱怨细节刻画太多太碎，直到最后那不到20分钟的拳击对决，才彻底明白之前那100多分钟的铺垫都有了意义,3,还行,12,0.985277916370895
"
                    2011-02-18 14:25:27
                ",玄辂Hyunlu,我相信应该很少人知道 里面洛奇的外号意大利种马 是史泰龙第一次出演的片子的名字 那是部色情片 他在里面是个坐在角落的路人甲 身上除了金表什...么...都...没...有...,5,力荐,25,0.9635275447556971
"
                    2014-04-02 22:55:12
                ",掉线,【B+】多么经典的励志电影，最难得的是它其实又并没有那么励志，与后世一大堆虚假做作的令人恶心的励志片相比，洛奇实在是朴实无华却又打动人心。影片的幕后故事也如洛奇般励志，穷困潦倒的史泰龙拿着自己写的剧本一炮打响名头，一举获得奥斯卡最佳男主最佳原创剧本双提名。,5,力荐,33,0.999945343237237
"
                    2013-05-28 17:30:08
                ",五色全味,溜冰那段，老师傅要求给他做经理人那段，比赛前独自去赛场那段……都太精彩，皆是痛苦的浪漫,4,推荐,43,0.9999909496240789
"
                    2017-02-18 23:20:57
                ",momo,很励志的一部电影，很棒!,4,推荐,13,0.9815738562534626
"
                    2010-06-27 14:16:14
                ",刘小黛,Sylvester Stallone有点像德尼罗。有没有？,4,推荐,5,0.27262959848766266
"
                    2023-03-24 00:27:52
                ",拔剑四顾心茫然,励志搏击片的经典模板，但同时也是难以复刻的独家案例，完全规避类型刺激，与印象中那种赢一场输一场投名师访高友最后夺冠的剧作模式完全不一样，叙事焦点投向对人物生存环境的描摹，开场后近一小时才出现第一个重大转折，而在此之前，我们看到的是洛奇琐碎的日常：收保护费，追求爱情，讲一些并不好笑的笑话，甚至连一手培育他的教练都觉得无药可救。是的，他就像是某一刻的我们。他穷困潦倒，日复一日麻痹的活着，看似一切已经定格，但心中总像是有什么遗憾还没完成，直到有人向他发起挑战。洛奇的拳头里面有情绪，对命运的不甘，对自我的超越，对爱人的深情，对强者的尊重，他想证明的不是自己比别人强，而是要向生活与命运证明自己永远都不会倒下。最后在拳台上那伤痕累累的男人大声呼喊着爱人的名字，那一瞬间，洛奇就是当之无愧的冠军，毋庸置疑。,4,推荐,7,1.0
"
                    2017-02-18 17:31:16
                ",天秤座的胖子莹,励志电影的套路依旧，不过套路成功故事完整，,3,还行,12,0.9752079405073472
"
                    2017-02-09 09:14:51
                ",Morning,我很喜欢比赛前的那一场戏，洛奇一个人去到空荡荡的拳馆，既紧张又对拳台充满肯定，未来命运的未知将会展开，最后拉大全看见这个夜里的安静的白炽灯光的场馆，回到家中对于胜负毫无把握，用内心情绪来制造了一场低谷和冲突，不是外在的因素，这一笔着实厉害。,4,推荐,7,0.9999999570173669
