time,uname,comment,star,title,support,sentiment_score
"
                    2010-09-27 14:50:32
                ",Q。,或许是因为年代久远，会觉得故事略显老套，但并不影响影片带来的强烈感触。问题不是哪条路是对的，问题是，你敢不敢走？人即使身残，也应保持灵魂的完整，因为灵魂没有假肢。★★★★,4,推荐,4422,0.9999629056383769
"
                    2010-08-29 16:00:03
                ",佛罗里达乐园,美酒佳肴衣鬓香影，一曲绝世探戈，尽情绽放然后死……连自杀都这么浪漫。片名叫人没有看的欲望，看完却觉得再适合不过。你我身边都可能会有这样一位愤世嫉俗自以为是夸夸其谈的老顽固，在他身边多呆一秒都是折磨，然后某一天发现他身上的优点比你所能想象的更多。,4,推荐,2828,0.9999999386563232
"
                    2010-03-07 20:00:05
                ",米姐起飞,"当我心中的正直感逐渐淡去之时,我庆幸我看到此片.",5,力荐,10660,0.9987264666589973
"
                    2007-12-22 23:12:00
                ",大头绿豆,刚开始，我觉得阿尔帕西诺演得有些用力了。但是看完，我觉得他就应该这么演。甚至那个年轻人O'Donneil也被他带动出极好的水准。探戈，演说。几近完美的一部片子。,5,力荐,4976,0.9951553116624207
"
                    2010-03-29 20:48:29
                ",A-sun*,感谢在我灵魂枯竭的时候看到这部电影。,5,力荐,5875,0.9968013285297095
"
                    2006-10-07 07:48:00
                ",Lan~die,Pacino成就了这部电影，他的每次出场都使影片散发着夺目的光芒。那段震撼人心的演说，那段迷人的探戈，还有一个盲人肆无忌惮地在空旷的街道开着法拉利……当你对着镜子缅怀青春感叹年华似水时，Al让人相信，时光对他来说只是种更为炉火纯青的化妆，皱纹也可以是种性感。,5,力荐,3347,0.9999999998931
"
                    2014-03-02 20:06:24
                ",Augety,本来想给五分额 结果在最后雷动的掌声里 仿佛看到了春晚……╭(╯ε╰)╮,4,推荐,790,0.7138104920428818
"
                    2015-02-16 14:38:42
                ",Ocap,看晚了，在启蒙时期更容易被这种片打动。这是一个标榜男性人格和操守的故事，老少同行的配置，多主题的诠释，荣誉、老年危机、正直、魅力，三观正，演技撑，几段戏出彩到留名，就足够了。我还脑洞了下：如果军人麦克·柯里昂坚持不继承父业，他的另一条人生轨迹就如这片。,4,推荐,683,0.9999999999999998
"
                    2015-07-20 17:16:09
                ",冰红深蓝,阿尔·帕西诺在第7次提名时终揽奥斯卡影帝，他在本片中的表演实在惊为天人。影片主题还是略显俗套的美式励志鸡汤，结尾安排的大团圆也过于简单粗暴，好在几段高潮足够精彩：青史留名的那支探戈、让人紧张又落泪的自杀场面、布鲁克林大桥下的法拉利飙车戏，以及结尾的那段慷慨激昂的演讲。（8.5/10）,4,推荐,516,0.9999999998298399
"
                    2008-01-10 17:15:23
                ",老鸡｜扶立,史上最美的探戈,5,力荐,7055,0.9835945588407491
"
                    2005-07-12 16:26:46
                ",Cherry,原来讲的是男人的故事,5,力荐,2924,0.8761393508516261
"
                    2007-11-27 22:45:04
                ",晚安小姐,"喜欢TANGO那段
",4,推荐,931,0.907844131431366
"
                    2020-02-19 16:15:42
                ",晴天,孩子，记住，西装要量身定做的，面对奚落，尽量豁达，实在不想忍，打架要够狠。遇到喜欢的女人，远远的看会显得很没出息，搭讪时要有礼貌，坚持时要有分寸，找对时机说一两句笑话，因为女人笑起来更好看，同时也更容易接近。如果和别的男人竞争，不要退缩，找到对手的弱点，叹息间，把女人的心带走，即使不带走，至少令她心头一颤。遇到老油条，你要比他更滑头；遇到条子，你要穿过而且潇洒；给小费的时候要带着尊敬，人生何处不相逢。,4,推荐,310,0.9999998090338393
"
                    2017-03-15 09:24:18
                ",朝暮雪,教父分分钟教你做人。,4,推荐,294,0.5829347652711729
"
                    2023-08-10 22:13:26
                ",momo,"适合男性观看的电影。女性陪衬，无意义的黄腔，自认幽默，沉浸在过去荣光里无法面对当下的兵痞即使因为酒后玩手榴弹导致失明，也照样傲慢自大。
“俩路人目击了作案过程，A选择作证，B选择闭嘴”这种小事，扯人权还能理解，吹捧闭嘴的行为“勇敢、正直、完美灵魂、学校曙光”实在略过。
剧情走线过大于功，有很明显的不足，加1星给演员的演技",4,推荐,69,0.9999999999999423
"
                    2008-03-09 01:27:35
                ",暖鱼,颓废的那几段打动人，探戈那段也很不错,4,推荐,188,0.9994690242408848
"
                    2011-03-31 23:30:53
                ",20个小明≯,黑暗中，一个自责的灵魂时刻经历着生命的拷问，在它即将放弃、摆脱、抽身而去时，另一个亟待帮助的灵魂出现了…一个孤独、另一个迷茫，当两颗心碰撞在一起才发现，其实一直在相互扶持、慰藉、拯救…我的心谁能懂？当一切已无法承受，那一曲穿越灵魂的探戈告诉我们，什么样的生命才是真正的永恒！,5,力荐,1464,0.9999999999999809
"
                    2012-12-27 22:10:12
                ",大島,看名字我一直以为是爱情片,5,力荐,2134,0.9110111820836663
"
                    2018-05-20 19:47:50
                ",穿过肉身的痛,两者都是幸运的，一个在开始人生后即将被伪善者毁坏人生甚至灵魂，一个则在人生失意孤寂的自怜中找不到曙光，幸运呢的是两者的相遇，像寒风中的孤鸟在防备中渐渐感觉到彼此的共同处境，最终相互靠近取暖，赢得生命延续的曙光。很值得看的电影！,4,推荐,110,0.9999999999999323
"
                    2014-02-15 22:28:33
                ",Peter Cat,所以超级演技真的能掩盖一切。,4,推荐,80,0.8472434070392809
